gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2511503761	210	5	202	1.5e-33	102.2	TIGR00372	CRISPR-associated protein Cas4
2511503766	888	2	872	0.0e+00	902.7	TIGR00422	valyl-tRNA synthetase
2511503773	426	18	425	0.0e+00	606.2	TIGR03676	peptide chain release factor 1, archaeal and eukaryotic forms
2511503775	640	11	372	2.9e-84	269.3	TIGR00456	arginyl-tRNA synthetase
2511503782	177	21	177	1.5e-54	170	TIGR00942	Monovalent Cation (K+ or Na+):Proton Antiporter-3 (CPA3) subfamily
2511503784	132	10	110	8.7e-33	98.8	TIGR01300	monovalent cation/proton antiporter, MnhG/PhaG subunit
2511503788	495	5	468	3.3e-73	233.2	TIGR01770	proton-translocating NADH-quinone oxidoreductase, chain N
2511503791	194	14	155	1.0e-47	147.8	TIGR01957	NADH-quinone oxidoreductase, B subunit
2511503798	267	37	266	8.3e-91	289.4	TIGR00055	undecaprenyl diphosphate synthase
2511503807	430	4	430	0.0e+00	432.7	TIGR00457	asparaginyl-tRNA synthetase
2511503810	411	7	401	0.0e+00	460.9	TIGR00306	2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal form
2511503824	473	9	465	0.0e+00	541.8	TIGR02717	acetyl coenzyme A synthetase (ADP forming), alpha domain
2511503839	143	3	143	1.5e-58	182.8	TIGR01162	phosphoribosylaminoimidazole carboxylase, PurE protein
2511503842	438	1	419	0.0e+00	487.5	TIGR00877	phosphoribosylamine--glycine ligase
2511503844	169	1	163	3.4e-54	168.7	TIGR00725	TIGR00725 family protein
2511503846	80	3	78	1.3e-26	78.9	TIGR00302	phosphoribosylformylglycinamidine synthase, purS protein
2511503847	223	2	221	3.4e-101	323.4	TIGR01737	phosphoribosylformylglycinamidine synthase I
2511503848	713	1	709	0.0e+00	967.1	TIGR01736	phosphoribosylformylglycinamidine synthase II
2511503851	485	14	452	0.0e+00	637.7	TIGR01302	inosine-5'-monophosphate dehydrogenase
2511503852	307	4	307	0.0e+00	503.3	TIGR00884	GMP synthase (glutamine-hydrolyzing), C-terminal domain or B subunit
2511503855	188	2	188	2.4e-84	267.5	TIGR00888	GMP synthase (glutamine-hydrolyzing), N-terminal domain or A subunit
2511503866	333	15	315	0.0e+00	436.6	TIGR03972	wyosine biosynthesis protein TYW1
2511503878	141	3	133	1.7e-43	133.7	TIGR00149	secondary thiamine-phosphate synthase enzyme
2511503885	640	312	631	4.6e-82	262.6	TIGR00604	DNA repair helicase (rad3)
2511503894	236	1	236	1.8e-54	170.6	TIGR00230	sugar fermentation stimulation protein
2511503896	86	1	85	6.8e-41	124.8	TIGR00280	ribosomal protein L37a
2511503904	266	4	266	1.3e-78	249.9	TIGR00162	TIGR00162 family protein
2511503905	221	1	213	1.6e-28	86.1	TIGR00123	cobalamin biosynthesis protein CbiM
2511503907	270	34	230	4.2e-50	156.4	TIGR02454	cobalt ABC transporter, permease protein CbiQ
2511503911	455	2	450	0.0e+00	600.7	TIGR03990	phosphoglucosamine mutase
2511503913	465	1	464	0.0e+00	532.3	TIGR01479	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
2511503914	247	4	225	1.2e-21	65.3	TIGR01484	HAD-superfamily hydrolase, subfamily IIB
2511503914	247	4	226	1.2e-81	261.7	TIGR02461	mannosyl-3-phosphoglycerate phosphatase
2511503914	247	4	243	2.7e-69	220.9	TIGR01486	mannosyl-3-phosphoglycerate phosphatase family
2511503915	391	2	380	0.0e+00	591.6	TIGR02460	mannosyl-3-phosphoglycerate synthase
2511503922	656	117	656	0.0e+00	574.9	TIGR01702	carbon-monoxide dehydrogenase, catalytic subunit
2511503928	340	6	332	3.2e-90	288.7	TIGR00816	C4-dicarboxylate transporter/malic acid transport protein
2511503931	554	405	491	2.6e-17	49.3	TIGR04085	radical SAM additional 4Fe4S-binding domain
2511503937	295	1	295	8.2e-119	383.4	TIGR00501	methionine aminopeptidase, type II
2511503938	489	95	469	3.3e-117	377.8	TIGR00933	potassium uptake protein, TrkH family
2511503939	182	1	175	1.6e-48	150.9	TIGR00318	adenylyl cyclase CyaB, putative
2511503952	324	229	320	4.7e-34	102.6	TIGR01727	oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
2511503953	326	239	325	2.6e-36	109.9	TIGR01727	oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
2511503966	479	17	471	0.0e+00	700.6	TIGR01316	glutamate synthase (NADPH), homotetrameric
2511503970	134	8	133	6.9e-52	161.1	TIGR00527	glycine cleavage system H protein
2511503972	283	14	263	1.3e-81	259.6	TIGR00755	dimethyladenosine transferase
2511503976	385	6	385	0.0e+00	483.9	TIGR01213	TIGR01213 family protein
2511503984	439	31	434	0.0e+00	649.5	TIGR02153	glutamyl-tRNA(Gln) amidotransferase, subunit D
2511503984	439	92	430	0.0e+00	487	TIGR00519	L-asparaginases, type I
