gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2511503759	279	45.79	12	279	69	341	1.0e-73	269	COG2520	Predicted methyltransferase	341
2511503761	210	24.52	1	202	12	188	1.0e-17	83.5	COG1468	RecB family exonuclease	190
2511503764	371	47.37	3	342	1	336	4.0e-80	291	COG2419	Uncharacterized conserved protein	336
2511503766	888	42.44	2	888	1	876	0.0e+00	983	COG0525	Valyl-tRNA synthetase	877
2511503767	378	21.35	1	354	27	373	7.0e-04	38.6	COG2814	Arabinose efflux permease	394
2511503771	971	27.6	416	664	7	244	2.0e-50	195	COG4945	Membrane-anchored protein predicted to be involved in regulation of amylopullulanase	570
2511503772	397	34.94	1	390	3	366	5.0e-103	368	COG0012	Predicted GTPase, probable translation factor	372
2511503773	426	60.34	16	426	6	410	0.0e+00	486	COG1503	Peptide chain release factor 1 (eRF1)	411
2511503774	356	26.8	11	356	1	358	3.0e-39	156	COG1672	Predicted ATPase (AAA+ superfamily)	359
2511503775	640	37.82	14	640	7	577	0.0e+00	519	COG0018	Arginyl-tRNA synthetase	577
2511503776	92	23.91	1	91	146	237	4.0e-05	39.6	COG0095	Lipoate-protein ligase A	248
2511503777	189	38.07	20	188	27	200	6.0e-15	74.2	COG1300	Uncharacterized membrane protein	207
2511503780	419	63.01	4	419	2	414	0.0e+00	583	COG2100	Predicted Fe-S oxidoreductase	414
2511503781	166	54.49	1	166	1	167	1.0e-49	189	COG2150	Predicted regulator of amino acid metabolism, contains ACT domain	167
2511503782	177	39.88	7	177	1	158	3.0e-33	134	COG1863	Multisubunit Na+/H+ antiporter, MnhE subunit	158
2511503783	84	42.17	1	83	4	86	4.0e-09	53.2	COG2212	Multisubunit Na+/H+ antiporter, MnhF subunit	89
2511503784	132	49.11	1	112	1	109	3.0e-26	110	COG1320	Multisubunit Na+/H+ antiporter, MnhG subunit	113
2511503785	94	48.05	7	83	11	87	8.0e-13	65.3	COG1563	Predicted subunit of the Multisubunit Na+/H+ antiporter	87
2511503786	235	27.1	78	225	1	151	4.0e-11	61.9	COG2111	Multisubunit Na+/H+ antiporter, MnhB subunit	162
2511503787	118	52.63	6	118	2	114	1.0e-22	98.4	COG1006	Multisubunit Na+/H+ antiporter, MnhC subunit	115
2511503788	495	34.54	3	462	2	467	2.0e-62	233	COG0651	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	504
2511503789	624	32.48	9	501	3	497	5.0e-58	219	COG0651	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	504
2511503790	297	34.53	1	295	1	307	2.0e-51	196	COG0650	Formate hydrogenlyase subunit 4	309
2511503791	194	42.77	15	187	23	194	5.0e-62	230	COG0377	NADH:ubiquinone oxidoreductase 20 kD subunit and related Fe-S oxidoreductases	194
2511503792	199	35.67	37	191	10	165	3.0e-28	118	COG0852	NADH:ubiquinone oxidoreductase 27 kD subunit	176
2511503793	394	43.97	18	394	4	398	3.0e-126	444	COG0649	NADH:ubiquinone oxidoreductase 49 kD subunit 7	398
2511503794	226	34.91	1	168	2	169	2.0e-37	149	COG1143	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)	172
2511503795	525	23.71	34	128	388	484	9.0e-05	42.3	COG1470	Predicted membrane protein	513
2511503796	137	45.86	1	126	1	131	2.0e-30	125	COG1591	Holliday junction resolvase - archaeal type	137
2511503797	174	55.75	1	174	2	175	2.0e-58	218	COG0663	Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily	176
2511503798	267	57.76	36	267	15	244	3.0e-85	308	COG0020	Undecaprenyl pyrophosphate synthase	245
2511503799	314	36.67	32	269	3	239	7.0e-38	151	COG2810	Predicted type IV restriction endonuclease	284
2511503800	264	23.69	1	245	1	239	2.0e-21	96.6	COG0121	Predicted glutamine amidotransferase	252
2511503801	136	26.05	11	129	155	273	9.0e-19	86.1	COG2905	Predicted signal-transduction protein containing cAMP-binding and CBS domains	610
2511503802	500	26.9	2	274	1	290	4.0e-41	162	COG1409	Predicted phosphohydrolases	301
2511503803	289	50.86	1	286	1	290	5.0e-78	284	COG2074	2-phosphoglycerate kinase	299
2511503804	438	31.51	3	421	10	422	2.0e-82	299	COG2403	Predicted GTPase	449
2511503806	292	24.89	1	232	10	242	2.0e-18	86.8	COG0491	Zn-dependent hydrolases, including glyoxylases	252
2511503807	430	52.29	1	430	1	435	0.0e+00	547	COG0017	Aspartyl/asparaginyl-tRNA synthetases	435
2511503808	398	37.01	1	396	7	410	3.0e-74	272	COG0402	Cytosine deaminase and related metal-dependent hydrolases	421
2511503809	390	24.02	22	265	67	291	2.0e-15	77.2	COG2524	Predicted transcriptional regulator, contains C-terminal CBS domains	294
2511503810	411	56.34	1	405	1	408	0.0e+00	557	COG3635	Predicted phosphoglycerate mutase, AP superfamily	408
