gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2545869257	146	71.9	1	139	5	143	0.0e+00	216.1	KO:K07076			Yes
2545869258	193	82.4	1	193	1	193	0.0e+00	326.2	KO:K03752	molybdopterin-guanine dinucleotide biosynthesis protein A [EC:2.7.7.77]	EC:2.7.7.77	Yes
2545869259	158	74.8	1	155	1	155	0.0e+00	251.9	KO:K08315	hydrogenase 3 maturation protease [EC:3.4.23.51]	EC:3.4.23.51	Yes
2545869260	243	82.3	1	243	1	248	0.0e+00	411.4	KO:K03593	ATP-binding protein involved in chromosome partitioning		Yes
2545869261	165	92.8	27	165	1	139	0.0e+00	265.4	KO:K04651	hydrogenase nickel incorporation protein HypA/HybF		Yes
2545869262	213	74.4	1	209	1	210	0.0e+00	294.3	KO:K16264	cobalt-zinc-cadmium efflux system protein		Yes
2545869266	231	85.8	1	226	1	226	0.0e+00	403.7	KO:K11261	formylmethanofuran dehydrogenase subunit E [EC:1.2.99.5]	EC:1.2.99.5	Yes
2545869267	378	94.4	1	378	1	378	0.0e+00	721.8	KO:K02016	iron complex transport system substrate-binding protein		Yes
2545869268	346	91.3	3	346	1	344	0.0e+00	604.7	KO:K02015	iron complex transport system permease protein		Yes
2545869269	258	96.5	1	258	1	258	0.0e+00	485.3	KO:K02013	iron complex transport system ATP-binding protein [EC:3.6.3.34]	EC:3.6.3.34	Yes
2545869271	309	90	1	309	1	309	0.0e+00	586.6	KO:K00784	ribonuclease Z [EC:3.1.26.11]	EC:3.1.26.11	Yes
2545869276	189	88.8	1	188	1	188	0.0e+00	358.6	KO:K06859	glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]	EC:5.3.1.9	Yes
2545869280	460	85.2	1	460	1	460	0.0e+00	819.3	KO:K16011	mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]	EC:2.7.7.13	Yes
2545869280	460	85.2	1	460	1	460	0.0e+00	819.3	KO:K16011	mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]	EC:5.3.1.8	Yes
2545869284	455	96	1	454	1	454	0.0e+00	862.8	KO:K15778	phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]	EC:5.4.2.2	Yes
2545869284	455	96	1	454	1	454	0.0e+00	862.8	KO:K15778	phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]	EC:5.4.2.8	Yes
2545869285	266	94.3	1	263	1	263	0.0e+00	493.4	KO:K02006	cobalt/nickel transport system ATP-binding protein		Yes
2545869286	219	92.7	1	219	1	219	0.0e+00	389.4	KO:K02008	cobalt/nickel transport system permease protein		Yes
2545869287	82	74.1	1	81	1	81	5.6e-28	123.6	KO:K02009	cobalt transport protein		Yes
2545869288	204	92.2	1	204	1	204	0.0e+00	369	KO:K02007	cobalt/nickel transport system permease protein		Yes
2545869289	266	97	1	266	1	266	0.0e+00	516.5	KO:K07159			Yes
2545869290	58	87.7	1	57	1	57	2.2e-26	117.9	KO:K11130	H/ACA ribonucleoprotein complex subunit 3		Yes
2545869291	275	95.6	1	275	1	275	0.0e+00	530.4	KO:K03237	translation initiation factor 2 subunit 1		Yes
2545869292	65	100	1	65	1	65	2.5e-31	134.4	KO:K02978	small subunit ribosomal protein S27e		Yes
2545869293	94	100	1	94	1	94	0.0e+00	201.8	KO:K02929	large subunit ribosomal protein L44e		Yes
2545869299	67	95.5	1	67	1	67	6.3e-30	129.8	KO:K03154	sulfur carrier protein		Yes
2545869306	215	98.1	1	215	1	215	0.0e+00	417.2	KO:K02992	small subunit ribosomal protein S7		Yes
