gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
638172469	277	80	144	SUPERFAMILY	SSF55469	IPR000415	Nitroreductase-like	GO:0016491
638172469	277	81	268	Gene3D	G3DSA:3.40.109.10	IPR000415	Nitroreductase-like	GO:0016491
638172469	277	85	274	Pfam	PF00881	IPR000415	Nitroreductase-like	GO:0016491
638172469	277	175	271	SUPERFAMILY	SSF55469	IPR000415	Nitroreductase-like	GO:0016491
638172469	277	100	274	TIGRFAM	TIGR03605	IPR020051	SagB-type dehydrogenase domain	
638172470	434	64	399	Pfam	PF02624	IPR003776	YcaO-like	
638172470	434	65	434	TIGRFAM	TIGR03604			
638172471	366	134	263	Pfam	PF00899	IPR000594	UBA/THIF-type NAD/FAD binding fold	GO:0003824
638172471	366	103	364	SUPERFAMILY	SSF69572	IPR009036	Molybdenum cofactor biosynthesis, MoeB	
638172471	366	115	361	Gene3D	G3DSA:3.40.50.720	IPR016040	NAD(P)-binding domain	GO:0000166
638172471	366	55	360	TIGRFAM	TIGR03603	IPR019892	Bacteriocin biosynthesis cyclodehydratase, SagC family	
638172471	366	10	360	PANTHER	PTHR10953			
638172471	366	10	360	PANTHER	PTHR10953:SF102			
638172473	267	2	225	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0016887|GO:0005524
638172473	267	26	201	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
638172473	267	1	202	Gene3D	G3DSA:3.40.50.300			
638172473	267	1	203	PANTHER	PTHR24220			
638172473	267	2	203	SUPERFAMILY	SSF52540			
638172473	267	79	187	Pfam	PF13304			
638172474	330	19	258	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0016887|GO:0005524
638172474	330	62	186	Pfam	PF00005	IPR003439	ABC transporter-like	GO:0016887|GO:0005524
638172474	330	47	235	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
638172474	330	1	328	PANTHER	PTHR24220			
638172474	330	1	328	PANTHER	PTHR24220:SF0			
638172474	330	2	252	Gene3D	G3DSA:3.40.50.300			
638172474	330	30	248	SUPERFAMILY	SSF52540			
638172475	495	415	492	Pfam	PF04471	IPR007560	Restriction endonuclease type IV,  Mrr	GO:0003677|GO:0009307|GO:0004519
638172475	495	413	492	SUPERFAMILY	SSF52980	IPR011335	Restriction endonuclease  type II--like	
638172475	495	2	239	Pfam	PF01637	IPR011579	ATPase domain, prokaryote	GO:0005524
638172475	495	416	492	Gene3D	G3DSA:3.40.1350.10	IPR011856	Endonuclease TnsA, N-terminal/resolvase Hjc/tRNA endonuclease, C-terminal	GO:0003676|GO:0004518
638172475	495	297	352	Gene3D	G3DSA:1.10.10.10	IPR011991	Winged helix-turn-helix transcription repressor DNA-binding	
638172475	495	1	194	Gene3D	G3DSA:3.40.50.300			
638172475	495	1	260	SUPERFAMILY	SSF52540			
638172475	495	277	382	SUPERFAMILY	SSF46785			
638172475	495	362	398	Coils	Coil			
638172476	164	9	162	PANTHER	PTHR23089	IPR001310	Histidine triad (HIT) protein	
638172476	164	22	132	ProSiteProfiles	PS51084	IPR001310	Histidine triad (HIT) protein	
638172476	164	35	125	Pfam	PF01230	IPR001310	Histidine triad (HIT) protein	
638172476	164	1	161	SUPERFAMILY	SSF54197	IPR011146	HIT-like domain	GO:0003824
638172476	164	16	160	Gene3D	G3DSA:3.30.428.10	IPR011146	HIT-like domain	GO:0003824
638172476	164	9	162	PANTHER	PTHR23089:SF0			
638172476	164	143	164	Coils	Coil			
638172477	230	26	160	Pfam	PF00899	IPR000594	UBA/THIF-type NAD/FAD binding fold	GO:0003824
638172477	230	182	229	Pfam	PF05237	IPR007901	MoeZ/MoeB	
638172477	230	2	229	SUPERFAMILY	SSF69572	IPR009036	Molybdenum cofactor biosynthesis, MoeB	
638172477	230	2	228	Gene3D	G3DSA:3.40.50.720	IPR016040	NAD(P)-binding domain	GO:0000166
638172477	230	1	230	PANTHER	PTHR10953			
638172479	329	11	321	SUPERFAMILY	SSF53686	IPR001926	Pyridoxal phosphate-dependent enzyme, beta subunit	GO:0030170|GO:0008152|GO:0003824
638172479	329	20	313	Pfam	PF00291	IPR001926	Pyridoxal phosphate-dependent enzyme, beta subunit	GO:0030170|GO:0008152|GO:0003824
638172479	329	15	325	TIGRFAM	TIGR01275	IPR005966	Pyridoxal phosphate-dependent deaminase	GO:0030170|GO:0003824
638172479	329	5	321	PANTHER	PTHR10314			
638172479	329	5	321	PANTHER	PTHR10314:SF6			
638172479	329	109	324	Gene3D	G3DSA:3.40.50.1100			
638172481	264	4	261	Pfam	PF01889	IPR002749	Protein of unknown function DUF63	
638172482	267	29	250	Pfam	PF01939	IPR002793	Uncharacterised protein family UPF0286	
638172482	267	31	246	Hamap	MF_00722	IPR002793	Uncharacterised protein family UPF0286	
638172483	249	95	235	SUPERFAMILY	SSF53098	IPR012337	Ribonuclease H-like domain	GO:0003676
638172483	249	96	234	Gene3D	G3DSA:3.30.420.10			
638172483	249	97	227	Pfam	PF13610			
638172484	128	4	117	Pfam	PF04322	IPR007417	Protein of unknown function DUF473	
638172485	242	4	234	TIGRFAM	TIGR00161	IPR004425	Conserved hypothetical protein CHP00061	
638172485	242	19	228	Pfam	PF09754	IPR019151	Proteasome assembly chaperone 2	
638172485	242	11	241	SUPERFAMILY	SSF159659			
638172485	242	209	240	Coils	Coil			
638172486	257	3	237	Pfam	PF01048	IPR000845	Nucleoside phosphorylase domain	GO:0003824|GO:0009116
638172486	257	3	244	PANTHER	PTHR11904	IPR001369	Purine phosphorylase, family 2	GO:0016763
638172486	257	3	238	TIGRFAM	TIGR01694	IPR010044	Methylthioadenosine phosphorylase	GO:0016763
638172486	257	48	88	ProSitePatterns	PS01240	IPR018099	Purine phosphorylase, family 2, conserved site	GO:0016763
638172486	257	1	255	SUPERFAMILY	SSF53167			
638172486	257	2	255	Gene3D	G3DSA:3.40.50.1580			
638172486	257	3	244	PANTHER	PTHR11904:SF1			
638172486	257	215	236	Coils	Coil			
638172487	420	61	222	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0017111|GO:0000166
638172487	420	300	404	Gene3D	G3DSA:1.10.10.10	IPR011991	Winged helix-turn-helix transcription repressor DNA-binding	
638172487	420	14	401	Hamap	MF_01407	IPR014277	Cell division protein Cdc6-related, archaea	
638172487	420	23	387	TIGRFAM	TIGR02928	IPR014277	Cell division protein Cdc6-related, archaea	
638172487	420	23	413	PANTHER	PTHR10763:SF8	IPR014277	Cell division protein Cdc6-related, archaea	
638172487	420	316	398	Pfam	PF09079	IPR015163	CDC6, C-terminal domain	
638172487	420	316	398	SMART	SM01074	IPR015163	CDC6, C-terminal domain	
638172487	420	23	295	SUPERFAMILY	SSF52540			
638172487	420	23	413	PANTHER	PTHR10763			
638172487	420	40	211	Gene3D	G3DSA:3.40.50.300			
638172487	420	63	194	Pfam	PF13401			
638172487	420	212	298	Gene3D	G3DSA:1.10.8.60			
638172487	420	301	407	SUPERFAMILY	SSF46785			
638172488	613	261	320	Pfam	PF01336	IPR004365	Nucleic acid binding, OB-fold, tRNA/helicase-type	GO:0003676
638172488	613	350	554	Pfam	PF04042	IPR007185	DNA polymerase alpha/epsilon, subunit B	GO:0003677|GO:0003887|GO:0006260
638172488	613	1	613	PIRSF	PIRSF000803	IPR011149	DNA polymerase II small subunit, archaeal	GO:0003887|GO:0003676|GO:0008408|GO:0006260
638172488	613	21	607	Hamap	MF_00325	IPR011149	DNA polymerase II small subunit, archaeal	GO:0003887|GO:0003676|GO:0008408|GO:0006260
638172488	613	250	320	Gene3D	G3DSA:2.40.50.140	IPR012340	Nucleic acid-binding, OB-fold	
638172488	613	259	315	SUPERFAMILY	SSF50249	IPR016027	Nucleic acid-binding, OB-fold-like	
638172488	613	278	612	PANTHER	PTHR10416	IPR024826	DNA polymerase delta/II small subunit family	
638172488	613	278	612	PANTHER	PTHR10416:SF0			
638172488	613	350	478	Gene3D	G3DSA:3.60.21.10			
638172488	613	350	577	SUPERFAMILY	SSF56300			
638172489	1263	1	1209	PIRSF	PIRSF016275	IPR004475	DNA polymerase II large subunit DP2	GO:0006260|GO:0006308|GO:0003887|GO:0003677
638172489	1263	1	1219	Hamap	MF_00324	IPR004475	DNA polymerase II large subunit DP2	GO:0006260|GO:0006308|GO:0003887|GO:0003677
638172489	1263	6	1189	TIGRFAM	TIGR00354	IPR004475	DNA polymerase II large subunit DP2	GO:0006260|GO:0006308|GO:0003887|GO:0003677
638172489	1263	8	952	Pfam	PF03833	IPR016033	DNA polymerase II large subunit DP2, N-terminal	GO:0003887
638172489	1263	11	32	Coils	Coil			
638172489	1263	281	302	Coils	Coil			
638172490	210	7	174	SMART	SM00849	IPR001279	Beta-lactamase-like	GO:0016787
638172490	210	1	196	Gene3D	G3DSA:3.60.15.10			
638172490	210	1	198	SUPERFAMILY	SSF56281			
638172490	210	2	174	Pfam	PF13483			
638172491	235	34	191	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0017111|GO:0000166
638172491	235	26	54	PRINTS	PR01874	IPR004504	DNA repair protein RadA	GO:0005524|GO:0003684|GO:0006281
638172491	235	202	228	PRINTS	PR01874	IPR004504	DNA repair protein RadA	GO:0005524|GO:0003684|GO:0006281
638172491	235	10	232	PIRSF	PIRSF003336	IPR011939	DNA recombination/repair protein RadB	GO:0008094|GO:0006310|GO:0006281|GO:0005524|GO:0003684
638172491	235	23	229	Hamap	MF_00350	IPR011939	DNA recombination/repair protein RadB	GO:0008094|GO:0006310|GO:0006281|GO:0005524|GO:0003684
638172491	235	24	229	TIGRFAM	TIGR02237	IPR011939	DNA recombination/repair protein RadB	GO:0008094|GO:0006310|GO:0006281|GO:0005524|GO:0003684
638172491	235	16	231	Pfam	PF08423	IPR013632	DNA recombination and repair protein Rad51, C-terminal	
638172491	235	13	172	ProSiteProfiles	PS50162	IPR020588	DNA recombination/repair protein RecA/RadB, ATP-binding domain	GO:0005524|GO:0006259|GO:0008094|GO:0003677
638172491	235	12	233	PANTHER	PTHR22942			
638172491	235	14	232	SUPERFAMILY	SSF52540			
638172491	235	15	232	Gene3D	G3DSA:3.40.50.300			
638172492	469	315	467	Gene3D	G3DSA:2.40.380.10	IPR007295	Domain of unknown function DUF402	
