gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
638172469	277	100	275	3.8e-62	194.9	TIGR03605	SagB-type dehydrogenase domain
638172470	434	60	409	3.4e-21	62.6	TIGR00702	uncharacterized domain
638172470	434	65	434	1.7e-109	353.1	TIGR03604	bacteriocin biosynthesis docking scaffold, SagD family
638172471	366	55	363	7.4e-119	384.1	TIGR03603	bacteriocin biosynthesis cyclodehydratase, SagC family
638172479	329	15	325	1.5e-129	417.9	TIGR01275	pyridoxal phosphate-dependent enzymes, D-cysteine desulfhydrase family
638172485	242	1	242	5.7e-73	231.5	TIGR00161	TIGR00161 family protein
638172486	257	3	239	3.9e-106	339.8	TIGR01694	5'-deoxy-5'-methylthioadenosine phosphorylase
638172487	420	23	387	0.0e+00	503	TIGR02928	orc1/cdc6 family replication initiation protein
638172489	1263	5	1196	0.0e+00	1553.2	TIGR00354	DNA polymerase, archaeal type II, large subunit
638172491	235	24	229	1.4e-80	256.2	TIGR02237	DNA repair and recombination protein RadB
638172492	469	43	301	3.9e-19	54.8	TIGR00757	ribonuclease, Rne/Rng family
638172496	453	6	414	0.0e+00	471.8	TIGR03671	CCA-adding enzyme
638172497	184	1	182	1.3e-59	187.2	TIGR02258	2'-5' RNA ligase
638172513	817	77	796	0.0e+00	893.2	TIGR01418	phosphoenolpyruvate synthase
638172518	240	5	219	2.8e-54	169.8	TIGR00364	queuosine biosynthesis protein QueC
638172519	301	4	209	2.0e-46	145.1	TIGR00675	DNA-methyltransferase (dcm)
638172531	183	1	183	5.3e-55	171.8	TIGR00187	riboflavin synthase, alpha subunit
638172532	354	148	349	4.7e-36	111.4	TIGR00227	riboflavin-specific deaminase C-terminal domain
638172532	354	7	346	7.4e-104	334.6	TIGR00326	riboflavin biosynthesis protein RibD
638172533	157	15	148	8.9e-50	154.5	TIGR00114	6,7-dimethyl-8-ribityllumazine synthase
638172534	390	198	385	6.2e-73	231.4	TIGR00505	GTP cyclohydrolase II
638172534	390	3	190	4.9e-38	117.7	TIGR00506	3,4-dihydroxy-2-butanone 4-phosphate synthase
638172539	260	11	197	3.1e-66	208.5	TIGR01166	cobalt transport protein ATP-binding subunit
638172542	570	501	569	6.0e-12	32	TIGR00451	uncharacterized domain 2
638172550	235	12	233	1.3e-54	171.3	TIGR00121	birA, biotin-[acetyl-CoA-carboxylase] ligase region
638172553	345	33	307	2.5e-127	409.6	TIGR03730	tungstate ABC transporter binding protein WtpA
638172555	344	279	344	5.1e-25	73.6	TIGR00638	molybdenum-pterin binding domain
638172564	307	2	305	1.2e-85	274.3	TIGR02666	molybdenum cofactor biosynthesis protein A, bacterial
638172564	307	2	306	3.8e-128	413.7	TIGR02668	probable molybdenum cofactor biosynthesis protein A, archaeal
638172567	852	562	585	8.3e-11	29.1	TIGR01443	intein C-terminal splicing region
638172567	852	60	144	1.9e-19	57.7	TIGR01445	intein N-terminal splicing region
638172568	226	4	224	7.7e-96	306	TIGR02187	Glutaredoxin-like domain protein
638172571	393	3	301	9.1e-76	241.3	TIGR02032	geranylgeranyl reductase family
638172572	257	5	256	5.1e-84	267.4	TIGR00552	NAD+ synthetase
638172575	327	240	325	3.2e-14	39.4	TIGR04085	radical SAM additional 4Fe4S-binding domain
638172585	347	9	333	4.7e-56	176.5	TIGR00335	DNA primase, eukaryotic-type, small subunit, putative
638172589	190	1	180	2.4e-19	55.8	TIGR00231	small GTP-binding protein domain
638172590	396	106	394	4.8e-97	312.6	TIGR01241	ATP-dependent metalloprotease FtsH
638172590	396	16	378	0.0e+00	669.8	TIGR01242	26S proteasome subunit P45 family
638172596	344	17	92	4.5e-29	86.6	TIGR01765	transposase, putative, N-terminal domain
