gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
650726463	394	2	383	0.0e+00	626.6	TIGR02460	mannosyl-3-phosphoglycerate synthase
650726464	146	53	143	1.6e-31	94.5	TIGR01727	oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
650726467	282	3	108	2.5e-21	62.2	TIGR00218	mannose-6-phosphate isomerase, class I
650726479	294	2	292	1.5e-50	159.1	TIGR00683	N-acetylneuraminate lyase
650726479	294	4	291	1.7e-73	233.9	TIGR00674	dihydrodipicolinate synthase
650726480	359	56	357	1.8e-20	59.2	TIGR01202	2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase
650726482	245	3	223	1.8e-18	55	TIGR01484	HAD-superfamily hydrolase, subfamily IIB
650726482	245	3	224	1.1e-90	291.3	TIGR02461	mannosyl-3-phosphoglycerate phosphatase
650726482	245	3	242	2.5e-76	244	TIGR01486	mannosyl-3-phosphoglycerate phosphatase family
650726483	460	1	459	0.0e+00	517	TIGR01479	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
650726484	466	11	460	0.0e+00	580.5	TIGR03990	phosphoglucosamine mutase
650726489	263	11	195	2.1e-69	218.8	TIGR01166	cobalt transport protein ATP-binding subunit
650726490	218	2	189	1.4e-34	105.7	TIGR02454	cobalt ABC transporter, permease protein CbiQ
650726492	204	1	199	2.3e-23	69.2	TIGR00123	cobalamin biosynthesis protein CbiM
650726496	285	12	282	2.7e-81	259.2	TIGR01230	agmatinase
650726497	136	1	134	8.3e-53	163.8	TIGR00037	translation initiation factor eIF-5A
650726505	310	41	308	1.2e-93	300.2	TIGR00446	NOL1/NOP2/sun family putative RNA methylase
650726505	310	9	309	2.9e-61	194.8	TIGR00563	ribosomal RNA small subunit methyltransferase RsmB
650726506	315	8	311	0.0e+00	488	TIGR00658	ornithine carbamoyltransferase
650726507	244	5	203	5.6e-57	178.7	TIGR02170	thymidylate synthase, flavin-dependent
650726511	410	6	400	0.0e+00	458.4	TIGR00306	2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal form
650726512	180	1	172	6.7e-68	213.8	TIGR00279	ribosomal protein L10.e
650726523	470	17	466	0.0e+00	702.1	TIGR01316	glutamate synthase (NADPH), homotetrameric
650726532	350	2	331	0.0e+00	432.1	TIGR03399	RNA 3'-phosphate cyclase
650726534	170	1	157	3.0e-41	127.2	TIGR00040	phosphoesterase, MJ0936 family
650726536	1624	391	482	2.5e-16	47.7	TIGR01445	intein N-terminal splicing region
650726536	1624	902	924	2.4e-08	21.3	TIGR01443	intein C-terminal splicing region
650726537	148	15	148	1.9e-55	172.5	TIGR00311	translation initiation factor aIF-2, beta subunit, putative
650726538	522	5	522	0.0e+00	997.3	TIGR01117	methylmalonyl-CoA decarboxylase alpha subunit
650726539	126	7	88	2.0e-20	59.4	TIGR01195	sodium pump decarboxylases, gamma subunit
650726541	374	22	368	0.0e+00	526.6	TIGR01109	sodium ion-translocating decarboxylase, beta subunit
650726545	209	14	209	5.3e-66	208.7	TIGR00310	ZPR1 zinc finger domain
650726545	209	16	182	2.5e-76	241.7	TIGR00340	ZPR1-related zinc finger protein
