gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
650726459	59	11	56	Pfam	PF07650	IPR004044	K Homology domain, type 2	GO:0003723
650726459	59	6	57	SUPERFAMILY	SSF54814	IPR009019	K Homology, prokaryotic type	GO:0003723
650726459	59	12	57	Gene3D	G3DSA:3.30.300.20	IPR015946	K homology domain-like, alpha/beta	
650726460	194	35	174	Pfam	PF02163	IPR008915	Peptidase M50	GO:0006508|GO:0004222
650726461	189	24	183	Pfam	PF06560	IPR010551	Glucose-6-phosphate isomerase, prokaryote	GO:0004347|GO:0005737|GO:0006094|GO:0006096
650726461	189	1	187	SUPERFAMILY	SSF51182	IPR011051	RmlC-like cupin domain	
650726461	189	18	186	Gene3D	G3DSA:2.60.120.10	IPR014710	RmlC-like jelly roll fold	
650726461	189	1	189	PIRSF	PIRSF019325	IPR016758	Glucose-6-phosphate isomerase, subgroup	GO:0005506|GO:0005737|GO:0004347|GO:0006096
650726462	466	9	466	PANTHER	PTHR21208	IPR007666	ADP-specific phosphofructokinase/glucokinase	GO:0016773|GO:0005975
650726462	466	10	466	ProSiteProfiles	PS51255	IPR007666	ADP-specific phosphofructokinase/glucokinase	GO:0016773|GO:0005975
650726462	466	30	462	Pfam	PF04587	IPR007666	ADP-specific phosphofructokinase/glucokinase	GO:0016773|GO:0005975
650726462	466	11	466	PIRSF	PIRSF015883	IPR015990	ADP-specific phosphofructokinase/glucokinase, archaeal	GO:0016773|GO:0006096|GO:0000287
650726462	466	3	464	SUPERFAMILY	SSF53613			
650726462	466	9	466	PANTHER	PTHR21208:SF0			
650726462	466	68	461	Gene3D	G3DSA:3.40.1190.20			
650726463	394	2	383	TIGRFAM	TIGR02460	IPR012812	Mannosyl-3-phosphoglycerate synthase	GO:0051479|GO:0005737|GO:0050504
650726463	394	4	383	Pfam	PF09488	IPR012812	Mannosyl-3-phosphoglycerate synthase	GO:0051479|GO:0005737|GO:0050504
650726463	394	54	185	SUPERFAMILY	SSF53448			
650726464	146	53	143	TIGRFAM	TIGR01727	IPR010066	Oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal	GO:0005524|GO:0015833|GO:0015197
650726464	146	55	123	Pfam	PF08352	IPR013563	Oligopeptide/dipeptide ABC transporter, C-terminal	GO:0015833|GO:0000166|GO:0005524
650726464	146	1	145	PANTHER	PTHR24220			
650726464	146	1	145	PANTHER	PTHR24220:SF81			
650726464	146	3	90	Gene3D	G3DSA:3.40.50.300			
650726464	146	3	142	SUPERFAMILY	SSF52540			
650726466	340	11	335	Pfam	PF04041	IPR007184	Glycosidase, PH1107-related	
650726466	340	27	326	SUPERFAMILY	SSF75005	IPR023296	Glycosyl hydrolase family 43, five-bladed beta-propellor domain	
650726467	282	18	93	Pfam	PF01238	IPR001250	Mannose-6-phosphate isomerase, type I	GO:0008270|GO:0005975|GO:0004476
650726467	282	14	274	SUPERFAMILY	SSF51182	IPR011051	RmlC-like cupin domain	
650726467	282	1	277	PIRSF	PIRSF036894	IPR014628	Mannose-6-phosphate isomerase, Firmicutes type, short form	GO:0004476
650726467	282	19	103	PANTHER	PTHR18964:SF1	IPR014628	Mannose-6-phosphate isomerase, Firmicutes type, short form	GO:0004476
650726467	282	19	188	Gene3D	G3DSA:2.60.120.10	IPR014710	RmlC-like jelly roll fold	
650726467	282	205	274	Gene3D	G3DSA:2.60.120.10	IPR014710	RmlC-like jelly roll fold	
650726467	282	19	103	PANTHER	PTHR18964			
650726468	373	25	108	Pfam	PF04041	IPR007184	Glycosidase, PH1107-related	
650726468	373	223	334	Pfam	PF04041	IPR007184	Glycosidase, PH1107-related	
650726468	373	27	327	SUPERFAMILY	SSF75005	IPR023296	Glycosyl hydrolase family 43, five-bladed beta-propellor domain	
650726470	901	4	285	Gene3D	G3DSA:3.20.110.10	IPR000602	Glycoside hydrolase, family 38, core	GO:0005975|GO:0004559
650726470	901	22	275	Pfam	PF01074	IPR000602	Glycoside hydrolase, family 38, core	GO:0005975|GO:0004559
650726470	901	394	454	SUPERFAMILY	SSF74650	IPR011013	Glycoside hydrolase-type carbohydrate-binding	GO:0005975|GO:0003824|GO:0030246
650726470	901	487	900	SUPERFAMILY	SSF74650	IPR011013	Glycoside hydrolase-type carbohydrate-binding	GO:0005975|GO:0003824|GO:0030246
650726470	901	9	270	SUPERFAMILY	SSF88713	IPR011330	Glycoside hydrolase/deacetylase, beta/alpha-barrel	GO:0003824|GO:0005975
650726470	901	492	899	Pfam	PF07748	IPR011682	Glycosyl hydrolases 38, C-terminal	GO:0015923|GO:0006013
650726470	901	22	901	PANTHER	PTHR11607			
650726470	901	22	901	PANTHER	PTHR11607:SF2			
650726470	901	264	285	Coils	Coil			
650726470	901	318	390	SUPERFAMILY	SSF88688			
