gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
650726459	59	38.3	11	57	132	178	6.0e-03	32.5	COG0195	Transcription elongation factor	190
650726460	194	28.09	18	194	21	188	3.0e-09	55.4	COG1994	Zn-dependent proteases	230
650726461	189	42.64	1	188	3	199	4.0e-49	187	COG2140	Thermophilic glucose-6-phosphate isomerase and related metalloenzymes	209
650726462	466	44.49	15	464	1	462	6.0e-127	447	COG4809	Archaeal ADP-dependent phosphofructokinase/glucokinase	466
650726464	146	59.56	1	136	138	266	5.0e-46	176	COG4608	ABC-type oligopeptide transport system, ATPase component	309
650726466	340	30.06	8	338	3	313	9.0e-45	174	COG2152	Predicted glycosylase	314
650726467	282	31.29	19	275	35	309	9.0e-39	154	COG1482	Phosphomannose isomerase	312
650726468	373	24.62	25	337	26	314	2.0e-19	90.4	COG2152	Predicted glycosylase	314
650726470	901	25.59	17	900	1	941	2.0e-78	288	COG0383	Alpha-mannosidase	943
650726471	150	44.83	1	143	3	147	3.0e-25	107	COG1522	Transcriptional regulators	154
650726472	81	23.17	2	81	66	147	5.0e-06	42.7	COG1522	Transcriptional regulators	154
650726473	398	38.5	44	398	14	350	2.0e-64	239	COG1063	Threonine dehydrogenase and related Zn-dependent dehydrogenases	350
650726474	364	27.63	67	321	18	250	3.0e-30	126	COG1402	Uncharacterized protein, putative amidase	250
650726475	340	32.68	1	340	1	350	6.0e-61	228	COG1063	Threonine dehydrogenase and related Zn-dependent dehydrogenases	350
650726476	89	27.71	4	82	130	211	1.0e-08	51.4	COG2721	Altronate dehydratase	381
650726477	394	40.92	6	394	7	381	2.0e-92	332	COG2721	Altronate dehydratase	381
650726478	319	31.35	5	313	3	311	3.0e-48	186	COG0524	Sugar kinases, ribokinase family	311
650726479	294	42.96	1	290	4	292	3.0e-77	282	COG0329	Dihydrodipicolinate synthase/N-acetylneuraminate lyase	299
650726480	359	37.63	1	359	2	350	4.0e-67	248	COG1063	Threonine dehydrogenase and related Zn-dependent dehydrogenases	350
650726481	259	21.94	10	259	3	269	1.0e-24	106	COG1235	Metal-dependent hydrolases of the beta-lactamase superfamily I	269
650726482	245	41.6	2	245	8	256	7.0e-68	250	COG3769	Predicted hydrolase (HAD superfamily)	274
650726483	460	47.77	1	322	2	332	4.0e-119	421	COG0836	Mannose-1-phosphate guanylyltransferase	333
650726484	466	45.69	8	466	4	463	3.0e-123	435	COG1109	Phosphomannomutase	464
650726488	299	44.59	1	295	1	305	2.0e-82	299	COG2421	Predicted acetamidase/formamidase	305
650726489	263	50.64	1	227	3	235	1.0e-64	239	COG1122	ABC-type cobalt transport system, ATPase component	235
650726490	218	23.15	5	218	25	240	5.0e-12	64.6	COG0619	ABC-type cobalt transport system, permease component CbiQ and related transporters	252
650726492	204	39.8	1	199	1	201	6.0e-28	117	COG0310	ABC-type Co2+ transport system, permease component	204
