gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2518820748	115	2	109	1.2e-25	76.5	TIGR00039	6-pyruvoyl tetrahydropterin synthase/QueD family protein
2518820751	141	8	137	2.6e-27	81.6	TIGR00293	prefoldin, archaeal alpha subunit/eukaryotic subunit 5
2518820753	186	2	180	3.7e-27	81.3	TIGR02175	2-oxoacid:acceptor oxidoreductase, gamma subunit, pyruvate/2-ketoisovalerate family
2518820760	324	3	322	2.5e-126	407.1	TIGR01210	TIGR01210 family protein
2518820763	257	1	243	3.9e-75	238.5	TIGR00087	5'/3'-nucleotidase SurE
2518820765	301	24	298	3.5e-113	363.5	TIGR00064	signal recognition particle-docking protein FtsY
2518820775	451	1	449	0.0e+00	563	TIGR00435	cysteinyl-tRNA synthetase
2518820781	431	3	245	3.2e-68	215.7	TIGR00097	phosphomethylpyrimidine kinase
2518820782	250	4	250	2.4e-94	301.3	TIGR00292	thiazole biosynthesis enzyme
2518820784	426	1	424	0.0e+00	612.7	TIGR00190	thiamine biosynthesis protein ThiC
2518820785	219	1	217	9.1e-42	129.4	TIGR00081	phosphoribosylaminoimidazole-succinocarboxamide synthase
2518820787	184	1	181	2.5e-47	147.2	TIGR01922	IMP cyclohydrolase
2518820788	153	15	148	5.6e-52	161.6	TIGR00114	6,7-dimethyl-8-ribityllumazine synthase
2518820789	386	195	382	3.8e-71	225.6	TIGR00505	GTP cyclohydrolase II
2518820789	386	5	187	1.7e-35	109.5	TIGR00506	3,4-dihydroxy-2-butanone 4-phosphate synthase
2518820790	145	1	145	6.0e-40	122.6	TIGR00187	riboflavin synthase, alpha subunit
2518820791	360	150	351	5.6e-39	120.9	TIGR00227	riboflavin-specific deaminase C-terminal domain
2518820791	360	9	348	1.7e-104	336.6	TIGR00326	riboflavin biosynthesis protein RibD
2518820797	579	474	579	1.8e-13	38.4	TIGR00451	uncharacterized domain 2
2518820797	579	6	340	1.8e-93	300.8	TIGR00449	tRNA-guanine transglycosylases, various specificities
2518820797	579	6	396	0.0e+00	574.5	TIGR00432	tRNA-guanine transglycosylase, archaeosine-15-forming
2518820803	219	37	184	1.1e-11	32.4	TIGR01549	haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E
2518820803	219	38	190	2.9e-12	34.1	TIGR01509	haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED
2518820826	416	11	378	6.4e-107	344	TIGR00900	H+ Antiporter protein
2518820829	171	4	171	3.3e-61	192	TIGR00636	ATP:cob(I)alamin adenosyltransferase
2518820832	252	1	174	4.3e-29	87.5	TIGR00177	molybdenum cofactor synthesis domain
2518820833	334	5	333	0.0e+00	599.2	TIGR01546	glyceraldehyde-3-phosphate dehydrogenase, type II
