gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
638185345	155	100	1	155	1	155	0.0e+00	302.4	KO:K02601	transcriptional antiterminator NusG		Yes
638185346	61	100	1	61	1	61	4.7e-28	123.2	KO:K07342	protein transport protein SEC61 subunit gamma and related proteins		Yes
638185347	372	100	1	372	1	372	0.0e+00	708	KO:K03531	cell division protein FtsZ		Yes
638185351	274	100	1	274	1	274	0.0e+00	553.1	KO:K09716	hypothetical protein		Yes
638185352	232	100	1	232	1	232	0.0e+00	471.1	KO:K07073			Yes
638185356	206	99.5	1	206	1	206	0.0e+00	431	KO:K09141	hypothetical protein		Yes
638185357	283	99.6	1	283	1	283	0.0e+00	536.6	KO:K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	EC:2.4.2.19	Yes
638185359	300	100	1	300	1	300	0.0e+00	594.7	KO:K03517	quinolinate synthase [EC:2.5.1.72]	EC:2.5.1.72	Yes
638185360	395	100	1	395	1	395	0.0e+00	766.1	KO:K09133	hypothetical protein		Yes
638185361	464	100	1	464	1	464	0.0e+00	919.5	KO:K00278	L-aspartate oxidase [EC:1.4.3.16]	EC:1.4.3.16	Yes
638185362	475	100	1	475	1	475	0.0e+00	938.7	KO:K01595	phosphoenolpyruvate carboxylase [EC:4.1.1.31]	EC:4.1.1.31	Yes
638185366	238	100	1	238	1	238	0.0e+00	499.2	KO:K04069	pyruvate formate lyase activating enzyme [EC:1.97.1.4]	EC:1.97.1.4	Yes
638185367	611	100	1	611	1	611	0.0e+00	1258	KO:K00527	ribonucleoside-triphosphate reductase [EC:1.17.4.2]	EC:1.17.4.2	Yes
638185368	373	99.7	1	373	1	373	0.0e+00	734.2	KO:K02023	multiple sugar transport system ATP-binding protein		Yes
638185369	277	100	1	277	1	277	0.0e+00	538.5	KO:K02026	multiple sugar transport system permease protein		Yes
638185370	284	100	1	284	1	284	0.0e+00	548.9	KO:K02025	multiple sugar transport system permease protein		Yes
638185371	426	100	1	426	1	426	0.0e+00	868.6	KO:K02027	multiple sugar transport system substrate-binding protein		Yes
