gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
638185345	155	9	153	9.0e-58	180.5	TIGR00405	ribosomal protein L24p/L26e, archaeal
638185346	61	3	61	1.3e-22	65.6	TIGR00327	protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic
638185347	372	26	371	0.0e+00	453	TIGR00065	cell division protein FtsZ
638185356	206	2	201	6.0e-74	234.1	TIGR00296	uncharacterized protein, PH0010 family
638185357	283	9	276	4.2e-106	340.1	TIGR00078	nicotinate-nucleotide pyrophosphorylase
638185359	300	1	299	3.5e-117	377	TIGR00550	quinolinate synthetase complex, A subunit
638185360	395	2	394	0.0e+00	609.7	TIGR00529	converved hypothetical integral membrane protein
638185361	464	2	448	0.0e+00	611.5	TIGR00551	L-aspartate oxidase
638185362	475	8	475	0.0e+00	643	TIGR02751	phosphoenolpyruvate carboxylase, archaeal type
638185363	549	8	525	0.0e+00	818	TIGR02339	thermosome, various subunits, archaeal
638185366	238	2	194	9.8e-49	151.4	TIGR02495	anaerobic ribonucleoside-triphosphate reductase activating protein
638185367	611	19	609	0.0e+00	552.9	TIGR02487	anaerobic ribonucleoside-triphosphate reductase
638185373	91	3	91	5.3e-26	76.8	TIGR00489	translation elongation factor aEF-1 beta
638185383	335	1	325	1.9e-103	332.1	TIGR00303	TIGR00303 family protein
638185386	412	8	402	0.0e+00	451.6	TIGR00306	2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal form
638185388	312	12	194	1.6e-42	132.3	TIGR00675	DNA-methyltransferase (dcm)
638185404	328	18	324	0.0e+00	469.8	TIGR01275	pyridoxal phosphate-dependent enzymes, D-cysteine desulfhydrase family
638185424	328	1	326	1.5e-95	305.9	TIGR00519	L-asparaginases, type I
638185429	456	11	447	7.9e-96	307.5	TIGR02095	glycogen/starch synthases, ADP-glucose type
638185430	275	14	270	3.4e-87	278.2	TIGR00950	Carboxylate/Amino Acid/Amine Transporter
638185433	195	5	166	3.4e-65	204.9	TIGR00288	TIGR00288 family protein
638185434	163	1	159	1.1e-69	219.5	TIGR00288	TIGR00288 family protein
638185435	175	3	175	8.2e-86	272.3	TIGR00708	cob(I)alamin adenosyltransferase
638185441	240	1	153	5.3e-27	80.9	TIGR00176	molybdopterin-guanine dinucleotide biosynthesis protein MobB
638185444	283	9	280	9.8e-71	224.5	TIGR01230	agmatinase
638185446	239	4	218	9.8e-56	174.5	TIGR00364	queuosine biosynthesis protein QueC
638185453	821	87	799	0.0e+00	896.6	TIGR01418	phosphoenolpyruvate synthase
638185460	184	1	182	1.3e-61	193.6	TIGR02258	2'-5' RNA ligase
638185462	449	6	414	0.0e+00	476	TIGR03671	CCA-adding enzyme
638185473	855	564	587	8.4e-11	29.1	TIGR01443	intein C-terminal splicing region
638185473	855	62	146	8.7e-20	58.8	TIGR01445	intein N-terminal splicing region
638185475	316	8	312	1.7e-130	420.4	TIGR02668	probable molybdenum cofactor biosynthesis protein A, archaeal
638185480	228	20	225	9.6e-82	259.9	TIGR02237	DNA repair and recombination protein RadB
638185482	1434	8	968	0.0e+00	1172.8	TIGR00354	DNA polymerase, archaeal type II, large subunit
638185482	1434	955	1051	6.1e-19	56	TIGR01445	intein N-terminal splicing region
638185485	437	40	404	0.0e+00	503.2	TIGR02928	orc1/cdc6 family replication initiation protein
638185486	260	6	242	8.4e-107	342	TIGR01694	5'-deoxy-5'-methylthioadenosine phosphorylase
638185487	241	2	241	3.6e-72	228.9	TIGR00161	TIGR00161 family protein
638185494	260	11	197	3.5e-68	214.9	TIGR01166	cobalt transport protein ATP-binding subunit
638185497	570	498	569	1.3e-12	34.1	TIGR00451	uncharacterized domain 2
638185500	466	29	449	2.9e-111	357.9	TIGR00700	4-aminobutyrate aminotransferase, prokaryotic type
638185506	323	8	323	2.5e-86	275.9	TIGR00383	magnesium Mg(2+) and cobalt Co(2+) transport protein (corA)
638185510	167	14	136	1.5e-24	72.7	TIGR00305	putative toxin-antitoxin system toxin component, PIN family
638185511	235	12	233	4.3e-54	169.6	TIGR00121	birA, biotin-[acetyl-CoA-carboxylase] ligase region
638185515	340	28	302	6.5e-126	405	TIGR03730	tungstate ABC transporter binding protein WtpA
