gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
650829913	714	266	703	Pfam	PF00496	IPR000914	Bacterial extracellular solute-binding protein, family 5	GO:0006810|GO:0005215
650829913	714	1	23	ProSiteProfiles	PS51257			
650829913	714	123	204	SUPERFAMILY	SSF53850			
650829913	714	220	416	SUPERFAMILY	SSF53850			
650829913	714	220	699	PANTHER	PTHR30290			
650829913	714	220	699	PANTHER	PTHR30290:SF0			
650829913	714	232	416	Gene3D	G3DSA:3.90.76.10			
650829913	714	445	701	SUPERFAMILY	SSF53850			
650829913	714	451	554	Gene3D	G3DSA:3.40.190.10			
650829913	714	555	703	Gene3D	G3DSA:3.10.105.10			
650829914	332	98	319	ProSiteProfiles	PS50928	IPR000515	Binding-protein-dependent transport systems inner membrane component	GO:0016020|GO:0005215|GO:0006810
650829914	332	116	332	Pfam	PF00528	IPR000515	Binding-protein-dependent transport systems inner membrane component	GO:0016020|GO:0005215|GO:0006810
650829914	332	3	332	PANTHER	PTHR30465			
650829914	332	3	332	PANTHER	PTHR30465:SF0			
650829914	332	93	322	Gene3D	G3DSA:1.10.3720.10			
650829914	332	97	162	SUPERFAMILY	SSF161098			
650829914	332	196	317	SUPERFAMILY	SSF161098			
650829915	385	135	355	ProSiteProfiles	PS50928	IPR000515	Binding-protein-dependent transport systems inner membrane component	GO:0016020|GO:0005215|GO:0006810
650829915	385	153	368	Pfam	PF00528	IPR000515	Binding-protein-dependent transport systems inner membrane component	GO:0016020|GO:0005215|GO:0006810
650829915	385	43	83	Pfam	PF12911	IPR025966	Oligopeptide transport permease C-like, N-terminal domain	
650829915	385	31	374	PANTHER	PTHR30465			
650829915	385	31	374	PANTHER	PTHR30465:SF1			
650829915	385	57	74	Gene3D	G3DSA:1.10.3720.10			
650829915	385	117	362	Gene3D	G3DSA:1.10.3720.10			
650829915	385	130	349	SUPERFAMILY	SSF161098			
650829916	326	6	262	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0016887|GO:0005524
650829916	326	67	190	Pfam	PF00005	IPR003439	ABC transporter-like	GO:0016887|GO:0005524
650829916	326	34	247	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0017111|GO:0000166
650829916	326	239	325	TIGRFAM	TIGR01727	IPR010066	Oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal	GO:0005524|GO:0015833|GO:0015197
650829916	326	241	305	Pfam	PF08352	IPR013563	Oligopeptide/dipeptide ABC transporter, C-terminal	GO:0000166|GO:0005524|GO:0015833
650829916	326	162	176	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
650829916	326	1	326	PANTHER	PTHR24220			
650829916	326	1	326	PANTHER	PTHR24220:SF132			
650829916	326	7	293	Gene3D	G3DSA:3.40.50.300			
650829916	326	34	323	SUPERFAMILY	SSF52540			
650829917	327	7	254	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0016887|GO:0005524
650829917	327	55	182	Pfam	PF00005	IPR003439	ABC transporter-like	GO:0016887|GO:0005524
650829917	327	40	231	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0017111|GO:0000166
650829917	327	231	323	TIGRFAM	TIGR01727	IPR010066	Oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal	GO:0005524|GO:0015833|GO:0015197
650829917	327	233	301	Pfam	PF08352	IPR013563	Oligopeptide/dipeptide ABC transporter, C-terminal	GO:0000166|GO:0005524|GO:0015833
650829917	327	154	168	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
650829917	327	3	262	Gene3D	G3DSA:3.40.50.300			
650829917	327	3	324	PANTHER	PTHR24220			
650829917	327	3	324	PANTHER	PTHR24220:SF81			
650829917	327	6	253	SUPERFAMILY	SSF52540			
650829918	125	47	114	Pfam	PF06146	IPR020948	Phosphate-starvation-induced PsiE-like	
650829919	342	12	338	PANTHER	PTHR11081	IPR006084	DNA repair protein (XPGC)/yeast Rad	GO:0004518|GO:0006281
650829919	342	21	35	PRINTS	PR00853	IPR006084	DNA repair protein (XPGC)/yeast Rad	GO:0004518|GO:0006281
650829919	342	75	94	PRINTS	PR00853	IPR006084	DNA repair protein (XPGC)/yeast Rad	GO:0004518|GO:0006281
650829919	342	139	156	PRINTS	PR00853	IPR006084	DNA repair protein (XPGC)/yeast Rad	GO:0004518|GO:0006281
650829919	342	160	180	PRINTS	PR00853	IPR006084	DNA repair protein (XPGC)/yeast Rad	GO:0004518|GO:0006281
650829919	342	226	241	PRINTS	PR00853	IPR006084	DNA repair protein (XPGC)/yeast Rad	GO:0004518|GO:0006281
650829919	342	1	101	SMART	SM00485	IPR006085	XPG N-terminal	GO:0006281|GO:0004518
650829919	342	12	101	Pfam	PF00752	IPR006085	XPG N-terminal	GO:0006281|GO:0004518
650829919	342	140	221	SMART	SM00484	IPR006086	XPG/RAD2 endonuclease	GO:0006281|GO:0004518
650829919	342	141	236	Pfam	PF00867	IPR006086	XPG/RAD2 endonuclease	GO:0006281|GO:0004518
650829919	342	223	257	SMART	SM00279	IPR008918	Helix-hairpin-helix motif, class 2	GO:0003677|GO:0003824
650829919	342	1	338	TIGRFAM	TIGR03674	IPR019973	Flap structure-specific endonuclease, archaea	GO:0016788
650829919	342	73	87	ProSitePatterns	PS00841	IPR019974	XPG conserved site	GO:0016788
650829919	342	221	338	SUPERFAMILY	SSF47807	IPR020045	5'-3' exonuclease, C-terminal domain	GO:0003824|GO:0003677
650829919	342	1	340	Hamap	MF_00614	IPR023426	Flap structure-specific endonuclease	GO:0016788
650829919	342	1	219	Gene3D	G3DSA:3.40.50.1010			
650829919	342	7	236	SUPERFAMILY	SSF88723			
650829919	342	12	338	PANTHER	PTHR11081:SF9			
650829919	342	221	281	Gene3D	G3DSA:1.10.150.20			
650829920	330	82	276	Pfam	PF02475	IPR003402	tRNA transferase Trm5/Tyw2	GO:0016740
650829920	330	1	330	ProSiteProfiles	PS51603	IPR025793	tRNA (guanine(37)-N(1))-methyltransferase, archaea	GO:0030488|GO:0009019
650829920	330	73	328	SUPERFAMILY	SSF53335			
650829920	330	74	326	PANTHER	PTHR23245			
650829920	330	159	289	Gene3D	G3DSA:3.40.50.150			
650829921	130	47	75	Coils	Coil			
650829922	104	39	67	Coils	Coil			
650829923	285	11	185	SUPERFAMILY	SSF48239	IPR008930	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid	
650829923	285	127	278	SUPERFAMILY	SSF48239	IPR008930	Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid	
650829923	285	1	285	PIRSF	PIRSF016175	IPR016648	Uncharacterised conserved protein UCP016175, prenyltransferase beta-subunit-related	
650829923	285	9	114	Gene3D	G3DSA:1.50.10.20			
650829923	285	129	265	Gene3D	G3DSA:1.50.10.20			
650829923	285	168	258	Pfam	PF13249			
650829924	232	6	229	TIGRFAM	TIGR01482	IPR006378	Sucrose-phosphate phosphatase	GO:0016791|GO:0000287
650829924	232	3	220	TIGRFAM	TIGR01487	IPR006382	SPP-like hydrolase, archaeal	GO:0000287|GO:0016791
650829924	232	3	226	Hamap	MF_01419	IPR006382	SPP-like hydrolase, archaeal	GO:0000287|GO:0016791
650829924	232	6	86	Pfam	PF08282	IPR013200	HAD superfamily hydrolase-like, type 3	
650829924	232	124	216	Pfam	PF08282	IPR013200	HAD superfamily hydrolase-like, type 3	
650829924	232	1	72	Gene3D	G3DSA:3.40.50.1000	IPR023214	HAD-like domain	
650829924	232	1	225	SUPERFAMILY	SSF56784	IPR023214	HAD-like domain	
650829924	232	147	226	Gene3D	G3DSA:3.40.50.1000	IPR023214	HAD-like domain	
650829924	232	83	146	Gene3D	G3DSA:3.90.1070.10			
650829924	232	125	216	PANTHER	PTHR21485			
650829925	454	7	449	PANTHER	PTHR11986	IPR005814	Aminotransferase class-III	GO:0030170|GO:0008483
650829925	454	39	384	Pfam	PF00202	IPR005814	Aminotransferase class-III	GO:0030170|GO:0008483
650829925	454	261	298	ProSitePatterns	PS00600	IPR005814	Aminotransferase class-III	GO:0030170|GO:0008483
650829925	454	73	340	Gene3D	G3DSA:3.40.640.10	IPR015421	Pyridoxal phosphate-dependent transferase, major region, subdomain 1	GO:0030170|GO:0003824
650829925	454	11	72	Gene3D	G3DSA:3.90.1150.10	IPR015422	Pyridoxal phosphate-dependent transferase, major region, subdomain 2	GO:0030170|GO:0003824
650829925	454	342	443	Gene3D	G3DSA:3.90.1150.10	IPR015422	Pyridoxal phosphate-dependent transferase, major region, subdomain 2	GO:0030170|GO:0003824
650829925	454	30	443	SUPERFAMILY	SSF53383	IPR015424	Pyridoxal phosphate-dependent transferase, major domain	
650829925	454	7	449	PANTHER	PTHR11986:SF17			
650829925	454	344	365	Coils	Coil			
650829926	330	19	41	PRINTS	PR00469	IPR000103	Pyridine nucleotide-disulphide oxidoreductase, class-II	GO:0016491|GO:0055114
650829926	330	51	66	PRINTS	PR00469	IPR000103	Pyridine nucleotide-disulphide oxidoreductase, class-II	GO:0016491|GO:0055114
