gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
650829913	714	25.65	218	700	37	468	6.0e-42	166	COG0747	ABC-type dipeptide transport system, periplasmic component	556
650829914	332	43.5	4	332	1	315	2.0e-80	293	COG0601	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components	317
650829915	385	42.17	38	368	6	288	5.0e-74	271	COG1173	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components	289
650829916	326	57.28	5	326	1	315	1.0e-129	456	COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	316
650829917	327	56.37	3	316	1	266	3.0e-110	391	COG4608	ABC-type oligopeptide transport system, ATPase component	309
650829918	125	35.71	1	125	11	136	8.0e-12	62.9	COG3431	Predicted membrane protein	142
650829919	342	35.29	11	338	1	309	4.0e-51	195	COG0258	5'-3' exonuclease (including N-terminal domain of PolI)	310
650829920	330	50	1	328	2	339	2.0e-94	339	COG2520	Predicted methyltransferase	341
650829921	130	30.11	31	121	116	203	7.0e-03	33.3	COG1190	Lysyl-tRNA synthetase (class II)	502
650829923	285	75.44	4	284	1	274	1.0e-108	386	COG1689	Uncharacterized protein conserved in archaea	274
650829924	232	23.28	1	226	1	262	2.0e-34	139	COG0561	Predicted hydrolases of the HAD superfamily	264
650829925	454	52.56	1	446	4	447	0.0e+00	547	COG0160	4-aminobutyrate aminotransferase and related aminotransferases	447
650829926	330	55.56	16	326	2	305	8.0e-88	317	COG0492	Thioredoxin reductase	305
650829927	167	34.91	1	167	2	158	6.0e-35	140	COG1863	Multisubunit Na+/H+ antiporter, MnhE subunit	158
650829928	84	51.22	1	82	5	86	2.0e-07	47.4	COG2212	Multisubunit Na+/H+ antiporter, MnhF subunit	89
650829929	122	44.54	1	118	3	113	2.0e-23	100	COG1320	Multisubunit Na+/H+ antiporter, MnhG subunit	113
650829930	84	45.57	3	81	8	86	6.0e-09	52.6	COG1563	Predicted subunit of the Multisubunit Na+/H+ antiporter	87
650829931	99	44.23	44	95	111	162	3.0e-06	43.4	COG2111	Multisubunit Na+/H+ antiporter, MnhB subunit	162
650829932	148	26.21	6	148	18	162	3.0e-12	64.6	COG2111	Multisubunit Na+/H+ antiporter, MnhB subunit	162
650829933	117	44.44	1	117	1	114	6.0e-19	86.4	COG1006	Multisubunit Na+/H+ antiporter, MnhC subunit	115
650829934	510	39.04	1	510	1	502	2.0e-75	276	COG0651	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	504
650829936	172	62.84	25	172	1	148	1.0e-61	228	COG3260	Ni,Fe-hydrogenase III small subunit	148
