gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
651048986	221	8	31	1.2e-09	23.9	TIGR02537	archaeal flagellin N-terminal-like domain
651049020	631	92	205	1.7e-14	40.1	TIGR00451	uncharacterized domain 2
651049025	123	6	122	2.2e-61	191.2	TIGR03677	50S ribosomal protein L7Ae
651049030	597	3	596	0.0e+00	795.8	TIGR00491	translation initiation factor aIF-2/yIF-2
651049030	597	4	176	4.3e-23	68.9	TIGR00231	small GTP-binding protein domain
651049031	419	10	411	4.8e-69	219.2	TIGR00479	23S rRNA (uracil-5-)-methyltransferase RumA
651049032	334	4	333	1.5e-88	283.8	TIGR01327	D-3-phosphoglycerate dehydrogenase
651049041	518	7	507	1.6e-96	309.8	TIGR00284	dihydropteroate synthase-related protein
651049042	4411	330	379	1.6e-08	21.9	TIGR03804	parallel beta-helix repeat (two copies)
651049044	252	1	250	1.5e-72	230	TIGR00010	hydrolase, TatD family
651049051	494	17	457	8.1e-60	188.8	TIGR00711	drug resistance transporter, EmrB/QacA subfamily
651049054	356	15	343	0.0e+00	422.9	TIGR00512	S-methyl-5-thioribose-1-phosphate isomerase
651049054	356	41	343	1.1e-117	379.4	TIGR00524	eIF-2B alpha/beta/delta-related uncharacterized proteins
651049058	91	4	90	7.2e-49	150	TIGR00285	DNA-binding protein Alba
651049059	451	6	439	0.0e+00	614.6	TIGR00928	adenylosuccinate lyase
651049074	161	1	138	1.6e-46	144.2	TIGR00104	putative methyltransferase, YaeB/AF_0241 family
651049077	393	238	317	4.0e-29	87.2	TIGR01766	transposase, IS605 OrfB family, central region
651049084	147	8	138	3.8e-41	126.4	TIGR00293	prefoldin, archaeal alpha subunit/eukaryotic subunit 5
651049087	339	5	149	3.0e-54	170.4	TIGR00184	adenylosuccinate synthase
651049090	599	6	595	0.0e+00	737.8	TIGR01108	oxaloacetate decarboxylase alpha subunit
651049092	236	8	234	5.1e-60	189	TIGR00121	birA, biotin-[acetyl-CoA-carboxylase] ligase region
651049097	700	23	186	2.1e-24	73.6	TIGR01596	CRISPR-associated endonuclease Cas3-HD
651049097	700	231	557	3.2e-73	233.8	TIGR01587	CRISPR-associated helicase Cas3
651049098	162	3	162	2.1e-35	108.2	TIGR00372	CRISPR-associated protein Cas4
651049099	85	1	82	4.2e-16	45.3	TIGR01573	CRISPR-associated endoribonuclease Cas2
651049100	317	3	317	2.5e-125	405	TIGR03641	CRISPR-associated endonuclease Cas1, subtype I-B/HMARI/TNEAP
651049100	317	4	312	3.0e-83	266.6	TIGR00287	CRISPR-associated endonuclease Cas1
651049101	228	3	167	3.8e-15	43.2	TIGR02592	CRISPR-associated protein Cas5, subtype I-B/HMARI
651049101	228	3	45	6.4e-16	45.1	TIGR02593	CRISPR-associated protein Cas5, N-terminal domain
651049102	327	4	248	1.9e-61	194.2	TIGR01875	CRISPR-associated autoregulator DevR family
651049102	327	9	323	1.0e-87	281.2	TIGR02585	CRISPR-associated protein Cas7/Cst2/DevR, subtype I-B/TNEAP
651049104	241	38	233	1.5e-36	112.8	TIGR01877	CRISPR-associated endoribonuclease Cas6
651049106	331	2	329	1.5e-102	329.3	TIGR01177	TIGR01177 family protein
651049123	115	7	115	5.2e-38	115.9	TIGR00332	desulfoferrodoxin ferrous iron-binding domain
651049130	689	140	687	0.0e+00	586.1	TIGR01525	heavy metal translocating P-type ATPase
651049130	689	140	689	0.0e+00	544.6	TIGR01512	heavy metal-(Cd/Co/Hg/Pb/Zn)-translocating P-type ATPase
651049130	689	161	679	2.5e-81	261	TIGR01494	ATPase, P-type (transporting), HAD superfamily, subfamily IC
651049133	640	105	624	3.5e-97	313.7	TIGR01494	ATPase, P-type (transporting), HAD superfamily, subfamily IC
651049133	640	53	639	0.0e+00	636.6	TIGR01511	copper-(or silver)-translocating P-type ATPase
