gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
651048986	221	46.79	7	220	1	209	3.0e-47	181	COG1681	Archaeal flagellins	209
651048987	168	29.2	29	165	23	157	2.0e-12	65.8	COG3352	Putative archaeal flagellar protein C	157
651048988	293	43.33	144	293	67	214	3.0e-37	148	COG3351	Putative archaeal flagellar protein D/E	214
651048989	169	27.12	1	118	1	112	5.0e-11	60.8	COG3353	Putative archaeal flagellar protein F	137
651048990	148	41.29	1	147	1	154	8.0e-28	116	COG3354	Putative archaeal flagellar protein G	154
651048991	231	47.14	7	231	10	235	1.0e-62	233	COG2874	Predicted ATPases involved in biogenesis of archaeal flagella	235
651048992	542	47.44	149	460	3	312	6.0e-92	331	COG0630	Type IV secretory pathway, VirB11 components, and related ATPases involved in archaeal flagella biosynthesis	312
651048993	572	39.53	47	557	16	526	2.0e-121	429	COG1955	Archaeal flagella assembly protein J	527
651048995	418	35.12	9	407	14	419	7.0e-73	268	COG0402	Cytosine deaminase and related metal-dependent hydrolases	421
651048996	139	32.39	1	139	1	140	5.0e-14	70.3	COG1585	Membrane protein implicated in regulation of membrane protease activity	140
651048997	320	47.21	4	263	1	268	5.0e-52	198	COG0330	Membrane protease subunits, stomatin/prohibitin homologs	291
651048998	429	32.22	342	429	164	247	5.0e-04	39.5	COG1340	Uncharacterized archaeal coiled-coil protein	294
651048999	380	34.49	10	370	152	494	7.0e-46	178	COG0464	ATPases of the AAA+ class	494
651049001	624	22.76	342	474	206	347	1.0e-02	35.7	COG1470	Predicted membrane protein	513
651049003	922	45.56	683	922	10	251	6.0e-55	209	COG0631	Serine/threonine protein phosphatase	262
651049004	655	32.62	309	560	2	281	5.0e-30	126	COG0515	Serine/threonine protein kinase	384
651049005	683	18.21	194	467	115	402	1.0e-03	39.4	COG2319	FOG: WD40 repeat	466
651049006	1003	28.32	496	816	1	337	8.0e-33	136	COG0515	Serine/threonine protein kinase	384
651049007	248	44.35	17	246	11	248	1.0e-47	183	COG0631	Serine/threonine protein phosphatase	262
651049008	433	31.47	57	323	1	283	3.0e-30	126	COG0515	Serine/threonine protein kinase	384
651049009	398	40.74	102	388	224	494	2.0e-51	196	COG0464	ATPases of the AAA+ class	494
651049010	647	27.04	279	575	2	317	2.0e-27	117	COG0515	Serine/threonine protein kinase	384
651049011	530	31.21	191	439	2	281	2.0e-33	137	COG0515	Serine/threonine protein kinase	384
651049012	691	17.56	33	361	67	416	1.0e-06	48.6	COG2319	FOG: WD40 repeat	466
651049015	615	23.29	86	368	654	937	9.0e-06	45.8	COG1196	Chromosome segregation ATPases	1163
651049017	376	48.61	34	174	84	227	1.0e-26	114	COG1357	Uncharacterized low-complexity proteins	238
651049018	926	27.51	579	895	2	348	4.0e-29	124	COG0515	Serine/threonine protein kinase	384
651049020	631	53.73	4	204	6	200	3.0e-60	226	COG5270	PUA domain (predicted RNA-binding domain)	202
651049021	286	23.3	83	286	70	255	2.0e-11	63.1	COG2512	Uncharacterized membrane-associated protein/domain	258
651049022	204	51.52	1	194	3	199	2.0e-49	188	COG1326	Uncharacterized archaeal Zn-finger protein	201
651049023	155	20.53	2	145	3	134	5.0e-07	47.4	COG1848	Predicted nucleic acid-binding protein, contains PIN domain	140
651049025	123	55.93	5	122	1	116	2.0e-25	108	COG1358	Ribosomal protein HS6-type (S12/L30/L7a)	116
651049026	70	72.46	1	69	1	69	4.0e-17	79.6	COG2053	Ribosomal protein S28E/S33	69
651049027	68	62.5	3	66	2	65	1.0e-19	87.7	COG2075	Ribosomal protein L24E	66
651049028	174	63.5	6	142	2	135	1.0e-56	212	COG0105	Nucleoside diphosphate kinase	135
651049030	597	36.05	2	566	1	509	3.0e-130	459	COG0532	Translation initiation factor 2 (IF-2; GTPase)	509
651049031	419	37.39	1	412	3	432	3.0e-96	345	COG2265	SAM-dependent methyltransferases related to tRNA (uracil-5-)-methyltransferase	432
651049032	334	51.52	1	324	1	324	6.0e-105	374	COG1052	Lactate dehydrogenase and related dehydrogenases	324
651049033	137	35.77	1	137	3	134	2.0e-16	78.5	COG4113	Predicted nucleic acid-binding protein, contains PIN domain	134
651049036	92	33.71	8	88	158	242	1.0e-13	68.5	COG1801	Uncharacterized conserved protein	263
651049037	416	23.79	35	415	27	379	3.0e-20	93.1	COG1630	Uncharacterized protein conserved in archaea	379
651049038	887	30.35	1	883	1	908	3.0e-42	167	COG0419	ATPase involved in DNA repair	908
651049039	470	27.35	1	365	1	345	1.0e-42	168	COG0420	DNA repair exonuclease	390
651049040	556	34.01	7	537	11	519	2.0e-52	200	COG0433	Predicted ATPase	520
651049041	518	23.47	237	505	6	274	2.0e-18	87.3	COG0294	Dihydropteroate synthase and related enzymes	274
651049042	4411	28.38	4267	4411	728	871	3.0e-03	40.8	COG3889	Predicted solute binding protein	872
651049044	252	35.52	1	250	3	256	2.0e-55	209	COG0084	Mg-dependent DNase	256
651049045	324	26.19	2	164	4	171	7.0e-18	85.1	COG1633	Uncharacterized conserved protein	176
651049046	81	43.42	6	80	2	77	2.0e-16	76.8	COG1531	Uncharacterized protein conserved in archaea	77
651049047	239	30.74	9	235	3	224	7.0e-25	107	COG0491	Zn-dependent hydrolases, including glyoxylases	252
651049048	351	24.44	1	350	10	409	3.0e-37	149	COG0624	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase and related deacylases	409
651049049	926	39.07	1	792	8	810	0.0e+00	738	COG1201	Lhr-like helicases	814
651049051	494	26.7	32	219	28	218	2.0e-16	81	COG2814	Arabinose efflux permease	394
651049052	378	42.01	1	375	3	377	5.0e-97	347	COG1454	Alcohol dehydrogenase, class IV	377
651049054	356	59.37	12	354	1	345	0.0e+00	485	COG0182	Predicted translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family	346
651049055	180	48.85	1	169	4	173	1.0e-40	159	COG1618	Predicted nucleotide kinase	179
651049056	177	33.88	7	126	151	270	1.0e-20	92.7	COG2905	Predicted signal-transduction protein containing cAMP-binding and CBS domains	610
651049057	221	29.09	19	73	9	63	1.0e-05	43.2	COG4742	Predicted transcriptional regulator	260
651049058	91	75.82	1	91	1	91	1.0e-30	124	COG1581	Archaeal DNA-binding protein	91
651049059	451	53.65	6	441	1	438	0.0e+00	549	COG0015	Adenylosuccinate lyase	438
651049061	118	57.73	13	109	1	94	7.0e-29	119	COG1342	Predicted DNA-binding proteins	99
651049062	152	29.6	8	127	3	122	7.0e-14	70	COG0720	6-pyruvoyl-tetrahydropterin synthase	127
651049063	143	41.96	1	141	1	143	2.0e-39	154	COG4275	Uncharacterized conserved protein	143
651049065	140	44.6	2	139	5	141	3.0e-33	134	COG1661	Predicted DNA-binding protein with PD1-like DNA-binding motif	141
651049066	189	34.44	1	180	1	174	1.0e-20	93	COG3371	Predicted membrane protein	181
651049069	166	48.67	1	113	1	112	2.0e-29	121	COG1433	Uncharacterized conserved protein	121
651049071	204	52.14	1	117	1	115	4.0e-31	128	COG1433	Uncharacterized conserved protein	121
651049073	145	42.71	15	106	7	98	5.0e-14	70.5	COG5561	Predicted metal-binding protein	101
651049074	161	46.1	1	152	3	156	1.0e-44	172	COG1720	Uncharacterized conserved protein	156
651049075	220	38.37	2	220	4	259	5.0e-52	197	COG1237	Metal-dependent hydrolases of the beta-lactamase superfamily II	259
651049076	177	44	23	171	19	165	2.0e-35	142	COG4344	Uncharacterized protein conserved in archaea	175
651049077	393	25.79	6	375	1	363	5.0e-30	125	COG0675	Transposase and inactivated derivatives	364
651049079	86	36.21	35	85	69	126	3.0e-03	33.5	COG2020	Putative protein-S-isoprenylcysteine methyltransferase	187
651049080	135	22.86	17	117	16	109	6.0e-05	39.9	COG1433	Uncharacterized conserved protein	121
651049081	289	48.25	1	285	2	284	1.0e-85	310	COG1149	MinD superfamily P-loop ATPase containing an inserted ferredoxin domain	284
651049082	295	50	1	293	2	284	9.0e-89	320	COG1149	MinD superfamily P-loop ATPase containing an inserted ferredoxin domain	284
651049084	147	44.68	1	141	1	140	8.0e-21	93	COG1730	Predicted prefoldin, molecular chaperone implicated in de novo protein folding	145
651049086	311	43.77	4	304	1	310	2.0e-59	222	COG0451	Nucleoside-diphosphate-sugar epimerases	314
651049087	339	39.21	1	339	1	429	2.0e-112	398	COG0104	Adenylosuccinate synthase	430
651049089	258	36.4	4	258	25	296	2.0e-49	189	COG2267	Lysophospholipase	298
651049090	599	61.59	1	463	3	467	0.0e+00	660	COG5016	Pyruvate/oxaloacetate carboxyltransferase	472
651049091	281	46.35	1	273	1	265	6.0e-81	294	COG1830	DhnA-type fructose-1,6-bisphosphate aldolase and related enzymes	265
651049092	236	45.19	12	236	1	238	4.0e-51	194	COG0340	Biotin-(acetyl-CoA carboxylase) ligase	238
651049093	430	43.48	13	424	7	402	1.0e-88	320	COG1301	Na+/H+-dicarboxylate symporters	415
651049095	213	38.08	1	213	1	236	2.0e-51	195	COG2872	Predicted metal-dependent hydrolases related to alanyl-tRNA synthetase HxxxH domain	241
651049097	700	23.74	11	700	15	728	3.0e-72	266	COG1203	Predicted helicases	733
651049098	162	42.86	1	162	14	188	1.0e-30	125	COG1468	RecB family exonuclease	190
651049099	85	46.07	1	85	1	89	9.0e-14	68.3	COG1343	Uncharacterized protein predicted to be involved in DNA repair	89
651049100	317	39.69	1	316	3	327	4.0e-78	284	COG1518	Uncharacterized protein predicted to be involved in DNA repair	327
651049101	228	22.59	1	225	1	237	1.0e-17	83.6	COG1688	Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily)	240
651049102	327	25.96	1	322	6	334	4.0e-36	145	COG1857	Uncharacterized protein predicted to be involved in DNA repair	334
651049104	241	33.46	1	237	1	238	2.0e-41	162	COG1583	Uncharacterized protein predicted to be involved in DNA repair (RAMP superfamily)	240
651049106	331	38.97	1	331	2	346	1.0e-73	270	COG1041	Predicted DNA modification methylase	347
651049107	174	25.32	2	155	22	173	5.0e-07	47.7	COG1633	Uncharacterized conserved protein	176
651049110	247	25.19	65	191	358	486	3.0e-03	35.7	COG3559	Putative exporter of polyketide antibiotics	536
651049112	231	36.8	1	223	1	231	5.0e-46	177	COG1131	ABC-type multidrug transport system, ATPase component	293
651049113	175	24.64	44	167	12	133	7.0e-06	43.7	COG3153	Predicted acetyltransferase	171
651049114	159	32.67	5	149	27	176	3.0e-15	74.7	COG1633	Uncharacterized conserved protein	176
651049115	100	37.5	6	93	11	98	2.0e-09	53.9	COG1633	Uncharacterized conserved protein	176
