gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
644807279	617	2	536	0.0e+00	539.5	TIGR01536	asparagine synthase (glutamine-hydrolyzing)
644807290	279	171	265	1.7e-19	56.2	TIGR04178	exosortase/archaeosortase family protein
644807298	325	206	311	4.4e-41	125.7	TIGR00269	TIGR00269 family protein
644807299	67	2	67	6.7e-32	95.6	TIGR04140	TIGR04140 family protein
644807309	199	2	198	2.7e-72	229.2	TIGR00504	pyroglutamyl-peptidase I
644807310	370	3	279	2.3e-54	171.1	TIGR02032	geranylgeranyl reductase family
644807318	515	4	490	1.4e-67	214.6	TIGR01770	proton-translocating NADH-quinone oxidoreductase, chain N
644807323	123	10	114	3.3e-38	116.2	TIGR01300	monovalent cation/proton antiporter, MnhG/PhaG subunit
644807331	115	10	110	4.6e-29	86.9	TIGR01300	monovalent cation/proton antiporter, MnhG/PhaG subunit
644807333	344	26	274	3.6e-67	212.4	TIGR00790	formate/nitrite transporter
644807343	716	14	689	0.0e+00	816	TIGR01591	formate dehydrogenase, alpha subunit, archaeal-type
644807345	229	6	222	8.3e-67	211.3	TIGR03294	coenzyme F420 hydrogenase, subunit gamma
644807346	393	5	392	9.9e-90	287.3	TIGR03295	coenzyme F420 hydrogenase, subunit alpha
644807351	254	5	254	4.2e-85	270.9	TIGR00552	NAD+ synthetase
644807353	88	3	88	1.2e-31	96.3	TIGR01687	MoaD family protein, archaeal
644807353	88	3	88	4.5e-20	59.5	TIGR01682	molybdopterin converting factor, subunit 1, non-archaeal
644807355	430	7	429	0.0e+00	660.5	TIGR01060	phosphopyruvate hydratase
644807371	229	12	111	8.1e-29	86.4	TIGR01726	amine acid ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family
644807374	189	1	74	2.4e-18	52.7	TIGR01726	amine acid ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family
644807375	175	3	175	1.1e-73	232.8	TIGR00708	cob(I)alamin adenosyltransferase
644807382	287	39	287	1.3e-42	132	TIGR00545	lipoyltransferase and lipoate-protein ligase
644807383	138	1	137	1.9e-38	117.9	TIGR02228	signal peptidase I, archaeal type
644807398	224	1	224	6.7e-39	119.9	TIGR00153	TIGR00153 family protein
644807400	316	5	316	0.0e+00	489	TIGR00746	carbamate kinase
644807408	1459	8	976	0.0e+00	1153.6	TIGR00354	DNA polymerase, archaeal type II, large subunit
644807408	1459	962	1058	1.1e-18	55.2	TIGR01445	intein N-terminal splicing region
644807410	435	39	403	0.0e+00	495.6	TIGR02928	orc1/cdc6 family replication initiation protein
644807412	355	42	355	0.0e+00	547.2	TIGR02236	DNA repair and recombination protein RadA
644807415	241	2	240	2.4e-67	213.1	TIGR00161	TIGR00161 family protein
644807417	257	3	239	1.8e-103	331	TIGR01694	5'-deoxy-5'-methylthioadenosine phosphorylase
644807422	103	5	89	6.1e-20	57.5	TIGR02926	ATP synthase archaeal, H subunit
644807426	366	31	362	8.7e-100	320.3	TIGR02923	ATP synthase A1, C subunit
644807428	585	1	581	0.0e+00	1090.3	TIGR01043	ATP synthase archaeal, A subunit
644807429	463	5	462	0.0e+00	887.7	TIGR01041	ATP synthase archaeal, B subunit
644807430	214	4	211	8.7e-75	236.9	TIGR00309	H(+)-transporting ATP synthase, vacuolar type, subunit D
644807441	546	8	525	0.0e+00	804.9	TIGR02339	thermosome, various subunits, archaeal
644807442	246	2	193	2.9e-54	169.4	TIGR02495	anaerobic ribonucleoside-triphosphate reductase activating protein
644807443	617	24	615	0.0e+00	531.6	TIGR02487	anaerobic ribonucleoside-triphosphate reductase
644807445	78	21	58	8.8e-07	15.7	TIGR01643	YD repeat (two copies)
644807447	91	1	91	3.6e-26	77.3	TIGR00489	translation elongation factor aEF-1 beta
644807450	184	2	180	5.2e-67	210.9	TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family
644807453	325	237	322	2.0e-11	30.4	TIGR04085	radical SAM additional 4Fe4S-binding domain
644807458	225	5	219	1.9e-94	301	TIGR00126	deoxyribose-phosphate aldolase
644807461	445	27	442	4.4e-112	360.6	TIGR00700	4-aminobutyrate aminotransferase, prokaryotic type
644807462	333	21	324	3.1e-126	406.2	TIGR01292	thioredoxin-disulfide reductase
644807479	1200	1015	1037	1.9e-13	37.6	TIGR01443	intein C-terminal splicing region
644807479	1200	517	615	7.5e-13	36.5	TIGR01445	intein N-terminal splicing region
644807482	106	1	97	3.0e-24	71.7	TIGR04076	TIGR04076 family protein
644807486	399	67	397	2.4e-129	416.9	TIGR00975	phosphate ABC transporter, phosphate-binding protein
644807488	304	2	299	1.3e-93	299.3	TIGR02138	phosphate ABC transporter, permease protein PstC
644807489	277	11	277	1.2e-67	213.9	TIGR00974	phosphate ABC transporter, permease protein PstA
644807490	252	4	252	2.2e-106	340.7	TIGR00972	phosphate ABC transporter, ATP-binding protein
644807494	384	73	383	4.4e-109	350.7	TIGR00233	tryptophanyl-tRNA synthetase
644807500	467	4	458	0.0e+00	531.5	TIGR02717	acetyl coenzyme A synthetase (ADP forming), alpha domain
644807506	483	1	198	1.5e-46	145.7	TIGR00197	yjeF N-terminal region
644807506	483	206	479	4.7e-73	232.9	TIGR00196	yjeF C-terminal region, hydroxyethylthiazole kinase-related
644807508	221	23	185	1.1e-54	170.4	TIGR00373	TIGR00373 family protein
644807512	646	12	641	9.1e-98	314.9	TIGR01217	acetoacetyl-CoA synthase
644807512	646	13	639	0.0e+00	930	TIGR02188	acetate--CoA ligase
644807514	138	4	131	8.4e-38	115.7	TIGR02793	nickel-responsive transcriptional regulator NikR
644807515	139	1	136	5.6e-27	80.3	TIGR00100	hydrogenase nickel insertion protein HypA
644807518	157	13	157	2.2e-32	98.9	TIGR00142	hydrogenase maturation protease HycI
644807518	157	14	154	3.5e-35	108.2	TIGR00072	hydrogenase maturation protease
644807531	726	49	721	0.0e+00	667.7	TIGR01591	formate dehydrogenase, alpha subunit, archaeal-type
644807534	84	1	72	2.7e-17	48.7	TIGR00074	hydrogenase assembly chaperone HypC/HupF
644807535	86	1	79	6.5e-27	79.5	TIGR00074	hydrogenase assembly chaperone HypC/HupF
644807536	374	1	373	0.0e+00	454.3	TIGR00075	hydrogenase expression/formation protein HypD
644807537	772	6	757	0.0e+00	867.8	TIGR00143	[NiFe] hydrogenase maturation protein HypF
644807542	338	4	338	3.1e-124	400.2	TIGR02124	hydrogenase expression/formation protein HypE
644807545	105	27	104	2.7e-37	113	TIGR02179	2-oxoacid:acceptor oxidoreductase, delta subunit, pyruvate/2-ketoisovalerate family
644807548	105	28	104	2.3e-37	113.3	TIGR02179	2-oxoacid:acceptor oxidoreductase, delta subunit, pyruvate/2-ketoisovalerate family
644807549	185	1	182	2.5e-84	267.5	TIGR02175	2-oxoacid:acceptor oxidoreductase, gamma subunit, pyruvate/2-ketoisovalerate family
644807551	431	189	349	7.7e-18	51.9	TIGR00231	small GTP-binding protein domain
644807551	431	6	361	1.3e-98	317.1	TIGR03156	GTP-binding protein HflX
644807553	325	3	324	0.0e+00	505.7	TIGR03722	universal archaeal protein Kae1
644807553	325	4	291	4.8e-106	341.4	TIGR00329	metallohydrolase, glycoprotease/Kae1 family
644807555	159	7	71	5.8e-16	44.7	TIGR00125	cytidyltransferase-related domain
644807556	250	1	250	2.0e-63	200.4	TIGR00486	dinuclear metal center protein, YbgI/SA1388 family
644807558	589	10	570	0.0e+00	879.7	TIGR01211	histone acetyltransferase, ELP3 family
644807562	248	2	239	0.0e+00	468.3	TIGR03877	KaiC domain protein, Ph0284 family
644807563	181	29	101	2.2e-29	88	TIGR03879	probable regulatory domain
644807564	143	5	116	5.3e-48	148.2	TIGR03330	S-adenosylmethionine decarboxylase proenzyme, Bacillus form
644807566	525	310	512	2.5e-35	108.3	TIGR01129	protein-export membrane protein SecD
644807568	537	3	441	0.0e+00	488.6	TIGR02717	acetyl coenzyme A synthetase (ADP forming), alpha domain
644807571	335	9	335	9.4e-71	224.8	TIGR00374	conserved hypothetical protein
644807572	389	149	388	1.6e-66	211.2	TIGR00446	NOL1/NOP2/sun family putative RNA methylase
644807572	389	86	167	1.6e-10	28.4	TIGR00451	uncharacterized domain 2
644807587	204	1	193	2.8e-31	94.9	TIGR00427	membrane protein, MarC family
644807588	435	10	327	7.1e-90	288.2	TIGR00443	ATP phosphoribosyltransferase, regulatory subunit
644807588	435	4	422	0.0e+00	425.6	TIGR00442	histidyl-tRNA synthetase
644807589	460	22	446	9.8e-105	336.4	TIGR00700	4-aminobutyrate aminotransferase, prokaryotic type
644807590	519	203	514	3.0e-94	302.2	TIGR00835	amino acid carrier protein
644807592	913	2	913	0.0e+00	1372.7	TIGR03683	alanyl-tRNA synthetase
644807592	913	61	895	0.0e+00	789.7	TIGR00344	alanine--tRNA ligase
644807595	226	8	212	2.4e-67	213.1	TIGR00419	triosephosphate isomerase
644807596	264	2	257	3.4e-109	350.2	TIGR00522	diphthine synthase
644807601	169	10	169	1.4e-62	196.7	TIGR00723	hydro-lyases, Fe-S type, tartrate/fumarate subfamily, beta region
644807602	283	1	273	1.6e-120	387.3	TIGR00722	hydro-lyases, Fe-S type, tartrate/fumarate subfamily, alpha region
644807603	304	2	304	2.1e-121	392.2	TIGR01327	D-3-phosphoglycerate dehydrogenase
644807604	215	2	214	1.2e-47	148.4	TIGR00153	TIGR00153 family protein
644807605	309	2	297	1.6e-84	269.7	TIGR00745	2-dehydropantoate 2-reductase
644807607	243	8	241	1.5e-68	217.2	TIGR00050	RNA methyltransferase, TrmH family, group 1
644807608	174	90	167	5.0e-32	96.1	TIGR00589	O-6-methylguanine DNA methyltransferase
644807610	112	1	110	1.5e-41	127.5	TIGR00264	alpha-NAC-related protein
644807613	407	14	391	4.6e-122	393.9	TIGR00857	dihydroorotase, multifunctional complex type
644807617	319	232	318	2.0e-35	107	TIGR01727	oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
644807618	335	241	331	4.4e-32	96.3	TIGR01727	oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
644807620	286	15	272	1.8e-62	197.2	TIGR00950	Carboxylate/Amino Acid/Amine Transporter
644807621	446	15	445	0.0e+00	577.1	TIGR00653	glutamine synthetase, type I
644807626	341	10	330	1.6e-62	197.8	TIGR00335	DNA primase, eukaryotic-type, small subunit, putative
644807633	398	2	389	4.9e-98	314.3	TIGR00528	glycine cleavage system T protein
644807638	239	4	218	1.2e-51	161.2	TIGR00364	queuosine biosynthesis protein QueC
644807640	78	3	45	3.1e-20	57.9	TIGR01439	looped-hinge helix DNA binding domain, AbrB family
