gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2517227438	829	100	1	829	1	829	0.0e+00	1711	KO:K02035	peptide/nickel transport system substrate-binding protein		Yes
2517227439	349	100	1	349	1	349	0.0e+00	681	KO:K02033	peptide/nickel transport system permease protein		Yes
2517227440	474	100	1	474	1	474	0.0e+00	949.5	KO:K02034	peptide/nickel transport system permease protein		Yes
2517227441	319	100	1	319	1	319	0.0e+00	643.3	KO:K02031	peptide/nickel transport system ATP-binding protein		Yes
2517227442	335	100	1	335	1	335	0.0e+00	676.4	KO:K02032	peptide/nickel transport system ATP-binding protein		Yes
2517227444	189	100	1	189	1	189	0.0e+00	393.3	KO:K06859	glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]	EC:5.3.1.9	Yes
2517227445	79	100	1	79	1	79	1.3e-41	168.7	KO:K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	EC:6.3.5.3	Yes
2517227446	223	100	1	223	5	227	0.0e+00	456.8	KO:K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	EC:6.3.5.3	Yes
2517227447	704	100	1	704	1	704	0.0e+00	1412.5	KO:K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	EC:6.3.5.3	Yes
2517227450	831	100	1	831	1	831	0.0e+00	1651	KO:K01681	aconitate hydratase 1 [EC:4.2.1.3]	EC:4.2.1.3	Yes
2517227451	400	100	1	400	1	400	0.0e+00	786.2	KO:K00031	isocitrate dehydrogenase [EC:1.1.1.42]	EC:1.1.1.42	Yes
2517227452	377	100	1	377	1	377	0.0e+00	760	KO:K01647	citrate synthase [EC:2.3.3.1]	EC:2.3.3.1	Yes
2517227456	410	100	1	410	1	410	0.0e+00	818.1	KO:K01940	argininosuccinate synthase [EC:6.3.4.5]	EC:6.3.4.5	Yes
2517227457	459	100	1	459	1	459	0.0e+00	889.4	KO:K01755	argininosuccinate lyase [EC:4.3.2.1]	EC:4.3.2.1	Yes
2517227458	273	99.3	1	273	1	273	0.0e+00	547	KO:K05827	alpha-aminoadipate--LysW ligase LysX [EC:6.3.2.-]	EC:6.3.2.-	Yes
2517227460	204	100	1	204	1	204	0.0e+00	401.7	KO:K07579	putative methylase		Yes
2517227461	775	100	1	775	1	775	0.0e+00	1560	KO:K02319	DNA polymerase I [EC:2.7.7.7]	EC:2.7.7.7	Yes
2517227463	246	100	1	246	1	246	0.0e+00	476.5	KO:K07134			Yes
2517227464	430	100	1	430	1	430	0.0e+00	846.7	KO:K01689	enolase [EC:4.2.1.11]	EC:4.2.1.11	Yes
2517227465	195	100	6	195	1	190	0.0e+00	375.2	KO:K06287	septum formation protein		Yes
2517227466	94	100	1	94	1	94	0.0e+00	202.6	KO:K02929	large subunit ribosomal protein L44e		Yes
2517227467	63	100	1	63	1	63	1.8e-30	131.3	KO:K02978	small subunit ribosomal protein S27e		Yes
2517227468	151	70.2	1	151	1	151	0.0e+00	240.7	KO:K01737	6-pyruvoyl tetrahydrobiopterin synthase [EC:4.2.3.12]	EC:4.2.3.12	Yes
2517227469	406	96.8	1	406	1	406	0.0e+00	766.5	KO:K13831	3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]	EC:4.1.2.43	Yes
2517227469	406	96.8	1	406	1	406	0.0e+00	766.5	KO:K13831	3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]	EC:5.3.1.27	Yes
2517227471	219	100	1	219	1	219	0.0e+00	441.8	KO:K07025	putative hydrolase of the HAD superfamily		Yes
2517227474	204	100	1	204	1	204	0.0e+00	397.5	KO:K06950	uncharacterized protein		Yes
2517227479	101	100	1	101	1	101	0.0e+00	198.4	KO:K09732	hypothetical protein		Yes
2517227483	420	100	1	420	1	420	0.0e+00	840.9	KO:K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	EC:2.3.1.157	Yes
2517227483	420	100	1	420	1	420	0.0e+00	840.9	KO:K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	EC:2.7.7.23	Yes
2517227484	279	100	1	279	1	279	0.0e+00	540.4	KO:K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	EC:2.7.6.1	Yes
2517227487	86	100	1	86	8	93	6.8e-41	166.4	KO:K09721	hypothetical protein		Yes
