gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2517227438	829	42.15	1	826	1	869	0.0e+00	646	COG3889	Predicted solute binding protein	872
2517227439	349	33.92	3	344	1	316	3.0e-64	238	COG0601	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components	317
2517227440	474	40.55	221	473	39	288	7.0e-67	248	COG1173	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components	289
2517227441	319	56.6	5	318	1	314	2.0e-126	445	COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	316
2517227442	335	44.01	5	333	1	316	2.0e-98	352	COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component	316
2517227444	189	43.94	1	189	3	200	1.0e-51	196	COG2140	Thermophilic glucose-6-phosphate isomerase and related metalloenzymes	209
2517227445	79	46.34	2	79	1	82	9.0e-21	91.8	COG1828	Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component	83
2517227446	223	56.52	1	222	2	231	8.0e-93	333	COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	231
2517227447	704	50.14	1	697	24	743	0.0e+00	869	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	743
2517227449	480	44.14	195	477	1	284	1.0e-72	267	COG0063	Predicted sugar kinase	284
2517227450	831	52.29	10	828	17	857	0.0e+00	981	COG1048	Aconitase A	861
2517227451	400	53.45	8	398	2	407	0.0e+00	486	COG0538	Isocitrate dehydrogenases	407
2517227452	377	48.4	9	376	18	390	3.0e-119	421	COG0372	Citrate synthase	390
2517227453	369	25	4	355	4	366	3.0e-60	225	COG0067	Glutamate synthase domain 1	371
2517227454	502	43.99	62	487	47	485	0.0e+00	488	COG0069	Glutamate synthase domain 2	485
2517227455	275	27.15	11	273	9	288	1.0e-40	160	COG0070	Glutamate synthase domain 3	301
2517227456	410	63.43	1	386	5	395	0.0e+00	576	COG0137	Argininosuccinate synthase	403
2517227457	459	37.75	8	435	12	455	9.0e-106	377	COG0165	Argininosuccinate lyase	459
2517227458	273	32.62	7	272	40	316	4.0e-52	198	COG0189	Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase)	318
2517227459	530	21.41	51	511	30	487	2.0e-42	167	COG1032	Fe-S oxidoreductase	490
2517227460	204	56.22	3	203	1	197	7.0e-70	256	COG2263	Predicted RNA methylase	198
2517227461	775	45.52	6	761	1	784	0.0e+00	657	COG0417	DNA polymerase elongation subunit (family B)	792
2517227462	270	22.59	10	253	2	269	4.0e-35	141	COG1235	Metal-dependent hydrolases of the beta-lactamase superfamily I	269
2517227463	246	50.97	1	246	2	255	9.0e-64	236	COG1365	Predicted ATPase (PP-loop superfamily)	255
2517227464	430	66.59	6	429	3	423	0.0e+00	640	COG0148	Enolase	423
2517227465	195	49.73	5	186	1	185	5.0e-61	226	COG0424	Nucleotide-binding protein implicated in inhibition of septum formation	193
2517227466	94	72.04	1	93	1	93	1.0e-27	114	COG1631	Ribosomal protein L44E	94
2517227467	63	73.21	8	63	12	67	6.0e-20	88.8	COG2051	Ribosomal protein S27E	67
2517227468	151	33.59	3	128	1	127	7.0e-18	83.5	COG0720	6-pyruvoyl-tetrahydropterin synthase	127
2517227469	406	53.05	1	210	4	215	2.0e-62	233	COG0269	3-hexulose-6-phosphate synthase and related proteins	217
2517227470	229	21.76	1	229	59	314	3.0e-24	105	COG0206	Cell division GTPase	338
2517227471	219	34.22	1	211	3	227	1.0e-32	133	COG1011	Predicted hydrolase (HAD superfamily)	229
2517227474	204	30.73	5	203	6	219	2.0e-25	109	COG1418	Predicted HD superfamily hydrolase	222
2517227475	160	27.27	1	145	3	153	1.0e-10	59.6	COG0456	Acetyltransferases	177
2517227477	539	18.58	1	360	1	387	2.0e-05	44.3	COG1807	4-amino-4-deoxy-L-arabinose transferase and related glycosyltransferases of PMT family	535
2517227478	192	23.16	11	178	6	180	2.0e-06	45.7	COG1777	Predicted transcriptional regulators	217
2517227479	101	69.07	1	96	1	97	2.0e-28	117	COG1888	Uncharacterized protein conserved in archaea	97
2517227480	187	46.15	15	65	17	68	6.0e-07	47.7	COG4189	Predicted transcriptional regulator	308
2517227481	465	52.79	4	465	3	457	0.0e+00	493	COG1042	Acyl-CoA synthetase (NDP forming)	598
2517227483	420	40.05	1	400	2	358	2.0e-75	276	COG1208	Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)	358
2517227484	279	40.89	1	275	6	296	1.0e-78	286	COG0462	Phosphoribosylpyrophosphate synthetase	314
2517227485	231	41.99	4	230	9	234	3.0e-36	145	COG4089	Predicted membrane protein	235
2517227486	117	19.23	6	101	3	106	1.0e-04	38.8	COG4933	Uncharacterized conserved protein	124
2517227487	86	66.28	1	86	8	92	2.0e-24	104	COG1698	Uncharacterized protein conserved in archaea	93
2517227488	280	30.22	1	276	11	282	2.0e-58	219	COG0616	Periplasmic serine proteases (ClpP class)	317
2517227489	385	33.65	69	365	1	305	4.0e-82	298	COG0180	Tryptophanyl-tRNA synthetase	314
2517227491	397	33.25	11	384	1	382	5.0e-63	235	COG1373	Predicted ATPase (AAA+ superfamily)	398
2517227495	309	20.83	157	269	13	132	7.0e-06	45.1	COG1522	Transcriptional regulators	154
2517227496	162	67.9	1	161	2	162	4.0e-63	233	COG1839	Uncharacterized conserved protein	162
2517227497	185	44.9	1	183	2	194	1.0e-54	205	COG0127	Xanthosine triphosphate pyrophosphatase	194
2517227498	150	38	1	150	2	150	3.0e-26	111	COG1522	Transcriptional regulators	154
2517227499	398	46.58	5	394	1	393	8.0e-116	410	COG1092	Predicted SAM-dependent methyltransferases	393
2517227501	50	74	1	50	1	50	7.0e-17	78.8	COG1998	Ribosomal protein S27AE	51
2517227502	99	56.57	1	99	2	100	1.0e-26	111	COG2004	Ribosomal protein S24E	107
2517227503	177	47.16	1	174	1	167	3.0e-45	174	COG1909	Uncharacterized protein conserved in archaea	167
2517227504	61	63.49	1	61	2	64	5.0e-20	89.2	COG2093	DNA-directed RNA polymerase, subunit E''	64
2517227505	189	60.11	1	183	1	183	2.0e-57	215	COG1095	DNA-directed RNA polymerase, subunit E'	183
2517227506	178	55.56	3	172	2	171	8.0e-51	193	COG0221	Inorganic pyrophosphatase	171
2517227507	281	36.4	6	281	1	277	3.0e-67	249	COG0648	Endonuclease IV	280
2517227508	100	60.4	1	99	1	100	6.0e-22	95.7	COG0011	Uncharacterized conserved protein	100
2517227509	376	39.2	1	369	1	362	7.0e-82	297	COG2237	Predicted membrane protein	364
2517227510	923	23.39	336	893	1	497	1.0e-40	162	COG1361	S-layer domain	500
2517227511	748	38.84	1	740	1	726	0.0e+00	584	COG1033	Predicted exporters of the RND superfamily	727
2517227512	172	34.29	1	170	2	176	7.0e-34	136	COG1510	Predicted transcriptional regulators	177
