gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
638206140	90	55	88	Coils	Coil			
638206141	158	110	154	Pfam	PF11848	IPR021799	Protein of unknown function DUF3368	
638206141	158	16	113	Gene3D	G3DSA:3.40.50.1010			
638206142	1670	725	771	SMART	SM00305	IPR003586	Hint domain C-terminal	
638206142	1670	1345	1393	SMART	SM00305	IPR003586	Hint domain C-terminal	
638206142	1670	404	494	SMART	SM00306	IPR003587	Hint domain N-terminal	
638206142	1670	849	974	SMART	SM00306	IPR003587	Hint domain N-terminal	
638206142	1670	523	664	ProSiteProfiles	PS50819	IPR004042	Intein DOD homing endonuclease	GO:0004519
638206142	1670	1131	1264	ProSiteProfiles	PS50819	IPR004042	Intein DOD homing endonuclease	GO:0004519
638206142	1670	64	407	TIGRFAM	TIGR00592	IPR004578	DNA-directed DNA polymerase, family B, pol2	GO:0000166|GO:0003887|GO:0003677|GO:0006260
638206142	1670	1386	1641	TIGRFAM	TIGR00592	IPR004578	DNA-directed DNA polymerase, family B, pol2	GO:0000166|GO:0003887|GO:0003677|GO:0006260
638206142	1670	21	128	Pfam	PF03104	IPR006133	DNA-directed DNA polymerase, family B, exonuclease domain	GO:0006260|GO:0003887
638206142	1670	132	277	Pfam	PF03104	IPR006133	DNA-directed DNA polymerase, family B, exonuclease domain	GO:0006260|GO:0003887
638206142	1670	351	404	Pfam	PF00136	IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain	GO:0000166|GO:0006260|GO:0003887|GO:0003677
638206142	1670	762	852	Pfam	PF00136	IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain	GO:0000166|GO:0006260|GO:0003887|GO:0003677
638206142	1670	1387	1645	Pfam	PF00136	IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain	GO:0000166|GO:0006260|GO:0003887|GO:0003677
638206142	1670	406	469	ProSiteProfiles	PS50817	IPR006141	Intein splice site	GO:0016539
638206142	1670	744	766	ProSiteProfiles	PS50818	IPR006141	Intein splice site	GO:0016539
