gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
638206142	1670	406	469	1.3e-05	13.9	TIGR01445	intein N-terminal splicing region
638206142	1670	61	430	1.6e-78	252.3	TIGR00592	DNA polymerase (pol2)
638206142	1670	744	766	2.5e-10	28.2	TIGR01443	intein C-terminal splicing region
638206152	140	3	133	2.9e-44	136.2	TIGR00149	secondary thiamine-phosphate synthase enzyme
638206153	185	1	179	7.2e-24	70.5	TIGR00231	small GTP-binding protein domain
638206156	354	36	310	3.5e-126	405.9	TIGR03730	tungstate ABC transporter binding protein WtpA
638206167	217	38	190	7.4e-11	29.5	TIGR01509	haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED
638206167	217	56	184	5.5e-12	33.4	TIGR01549	haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E
638206168	218	12	135	1.6e-38	118.3	TIGR00104	putative methyltransferase, YaeB/AF_0241 family
638206169	421	7	421	0.0e+00	699.5	TIGR00936	adenosylhomocysteinase
638206180	294	6	29	1.4e-09	23.8	TIGR02537	archaeal flagellin N-terminal-like domain
638206181	580	7	30	7.4e-09	21.5	TIGR02537	archaeal flagellin N-terminal-like domain
638206182	258	6	29	2.7e-09	22.9	TIGR02537	archaeal flagellin N-terminal-like domain
638206183	219	3	26	2.3e-09	23.1	TIGR02537	archaeal flagellin N-terminal-like domain
638206184	275	2	25	3.1e-09	22.7	TIGR02537	archaeal flagellin N-terminal-like domain
638206194	219	5	218	1.6e-68	216.7	TIGR00080	protein-L-isoaspartate(D-aspartate) O-methyltransferase
638206195	209	1	190	1.6e-58	185.8	TIGR01491	HAD-superfamily, subfamily-IB PSPase-like hydrolase, archaeal
638206195	209	1	203	2.8e-35	109.9	TIGR00338	phosphoserine phosphatase SerB
638206195	209	4	174	1.0e-35	111.3	TIGR01488	Haloacid Dehalogenase superfamily, subfamily IB, phosphoserine phosphatase-like
638206201	234	1	209	2.0e-29	91	TIGR01428	2-haloalkanoic acid dehalogenase, type II
638206201	234	1	226	3.5e-64	204.6	TIGR02253	HAD superfamily (subfamily IA) hydrolase, TIGR02253
638206201	234	66	202	1.3e-13	39.5	TIGR01509	haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED
638206201	234	68	196	3.4e-16	48.1	TIGR01549	haloacid dehalogenase superfamily, subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E
638206210	188	4	170	3.3e-73	231.8	TIGR01527	nicotinamide-nucleotide adenylyltransferase
638206210	188	4	67	8.5e-22	64.4	TIGR00125	cytidyltransferase-related domain
