gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
638199283	164						0.0e+00		KO:K02867	large subunit ribosomal protein L11		No
638199284	152						0.0e+00		KO:K02601	transcriptional antiterminator NusG		No
638199285	61						0.0e+00		KO:K07342	protein transport protein SEC61 subunit gamma and related proteins		No
638199286	372						0.0e+00		KO:K03531	cell division protein FtsZ		No
638199289	272						0.0e+00		KO:K09716	hypothetical protein		No
638199290	233						0.0e+00		KO:K07073			No
638199297	205						0.0e+00		KO:K09141	hypothetical protein		No
638199298	279						0.0e+00		KO:K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	EC:2.4.2.19	No
638199300	308						0.0e+00		KO:K03517	quinolinate synthase [EC:2.5.1.72]	EC:2.5.1.72	No
638199301	396						0.0e+00		KO:K09133	hypothetical protein		No
638199302	464						0.0e+00		KO:K00278	L-aspartate oxidase [EC:1.4.3.16]	EC:1.4.3.16	No
638199303	469						0.0e+00		KO:K01595	phosphoenolpyruvate carboxylase [EC:4.1.1.31]	EC:4.1.1.31	No
638199307	128						0.0e+00		KO:K07076			No
638199309	240						0.0e+00		KO:K04069	pyruvate formate lyase activating enzyme [EC:1.97.1.4]	EC:1.97.1.4	No
638199310	658						0.0e+00		KO:K00527	ribonucleoside-triphosphate reductase [EC:1.17.4.2]	EC:1.17.4.2	No
638199311	364						0.0e+00		KO:K02023	multiple sugar transport system ATP-binding protein		No
638199312	277						0.0e+00		KO:K02026	multiple sugar transport system permease protein		No
638199313	284						0.0e+00		KO:K02025	multiple sugar transport system permease protein		No
638199314	426						0.0e+00		KO:K02027	multiple sugar transport system substrate-binding protein		No
638199316	91						0.0e+00		KO:K03232	elongation factor 1-beta		No
638199317	63						0.0e+00		KO:K07580	hypothetical protein		No
638199318	277						0.0e+00		KO:K03179	4-hydroxybenzoate octaprenyltransferase [EC:2.5.1.-]	EC:2.5.1.-	No
638199320	492						0.0e+00		KO:K03307	solute:Na+ symporter, SSS family		No
638199321	624						0.0e+00		KO:K03738	aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]	EC:1.2.7.5	No
638199329	155						0.0e+00		KO:K07063			No
638199336	232						0.0e+00		KO:K02233	adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]	EC:2.7.8.26	No
638199339	290						0.0e+00		KO:K02227	adenosylcobinamide-phosphate synthase [EC:6.3.1.10]	EC:6.3.1.10	No
638199340	329						0.0e+00		KO:K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9]	EC:2.6.1.9	No
638199341	410						0.0e+00		KO:K01834	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.1]	EC:5.4.2.1	No
638199341	410						0.0e+00		KO:K15635	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.1]	EC:5.4.2.1	No
638199342	309						0.0e+00		KO:K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37]	EC:2.1.1.37	No
638199343	95						0.0e+00		KO:K03056	DNA-directed RNA polymerase subunit L [EC:2.7.7.6]	EC:2.7.7.6	No
638199344	219						0.0e+00		KO:K09742	hypothetical protein		No
638199345	199						0.0e+00		KO:K07573	exosome complex component CSL4		No
638199346	855						0.0e+00		KO:K03725	archaea-specific helicase [EC:3.6.1.-]	EC:3.6.1.-	No
638199347	155	83.9	1	155	1	155	0.0e+00	261.5	KO:K03719	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein		Yes
638199351	362						0.0e+00		KO:K00721	dolichol-phosphate mannosyltransferase [EC:2.4.1.83]	EC:2.4.1.83	No
638199352	227						0.0e+00		KO:K04795	fibrillarin-like pre-rRNA processing protein		No
638199353	404						0.0e+00		KO:K14564	nucleolar protein 56		No
638199354	350						0.0e+00		KO:K06921			No
