gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
638199283	164	5	160	PANTHER	PTHR11661	IPR000911	Ribosomal protein L11	GO:0005840|GO:0003735|GO:0006412
638199283	164	6	138	SMART	SM00649	IPR000911	Ribosomal protein L11	GO:0005840|GO:0003735|GO:0006412
638199283	164	66	138	SUPERFAMILY	SSF46906	IPR020783	Ribosomal protein L11, C-terminal	GO:0006412|GO:0005840|GO:0003735
638199283	164	70	137	Pfam	PF00298	IPR020783	Ribosomal protein L11, C-terminal	GO:0006412|GO:0005840|GO:0003735
638199283	164	77	138	Gene3D	G3DSA:1.10.10.250	IPR020783	Ribosomal protein L11, C-terminal	GO:0006412|GO:0005840|GO:0003735
638199283	164	3	76	Gene3D	G3DSA:3.30.1550.10	IPR020784	Ribosomal protein L11, N-terminal	
638199283	164	4	82	SUPERFAMILY	SSF54747	IPR020784	Ribosomal protein L11, N-terminal	
638199283	164	5	59	Pfam	PF03946	IPR020784	Ribosomal protein L11, N-terminal	
638199283	164	124	139	ProSitePatterns	PS00359	IPR020785	Ribosomal protein L11, conserved site	GO:0006412|GO:0003735|GO:0005840
638199283	164	2	160	Hamap	MF_00736_A	IPR020786	Ribosomal protein L11, archaea	GO:0003735|GO:0005840|GO:0006412
638199284	152	4	83	Pfam	PF03439	IPR005100	Transcription elongation factor Spt5, NGN domain	
638199284	152	91	118	SMART	SM00739	IPR005824	KOW	
638199284	152	94	125	Pfam	PF00467	IPR005824	KOW	
638199284	152	2	86	SMART	SM00738	IPR006645	Transcription antitermination protein, NusG, N-terminal	GO:0032968
638199284	152	53	146	SUPERFAMILY	SSF50104	IPR008991	Translation protein SH3-like	
638199284	152	6	149	TIGRFAM	TIGR00405	IPR011590	Ribosomal protein L26e, archaeal	
638199284	152	92	150	Gene3D	G3DSA:2.30.30.200	IPR014723	Ribosomal protein L24, SH3-like	
638199284	152	4	152	PANTHER	PTHR11125			
638199285	61	7	51	Pfam	PF00584	IPR001901	Protein translocase complex, SecE/Sec61-gamma subunit	GO:0016020|GO:0006605|GO:0006886
638199285	61	11	39	ProSitePatterns	PS01067	IPR001901	Protein translocase complex, SecE/Sec61-gamma subunit	GO:0016020|GO:0006605|GO:0006886
638199285	61	5	58	TIGRFAM	TIGR00327	IPR008158	Protein translocase SEC61 complex,  gamma subunit	GO:0015450|GO:0016020|GO:0015031
638199285	61	6	60	Hamap	MF_00422	IPR022943	Preprotein translocase subunit SecE, archaeal	
638199285	61	1	60	Gene3D	G3DSA:1.20.5.820	IPR023391	Protein translocase SecE domain	
638199285	61	4	58	SUPERFAMILY	SSF103456	IPR023391	Protein translocase SecE domain	
638199286	372	31	358	TIGRFAM	TIGR00065	IPR000158	Cell division protein FtsZ	GO:0005737|GO:0005525
638199286	372	128	148	PRINTS	PR00423	IPR000158	Cell division protein FtsZ	GO:0005737|GO:0005525
638199286	372	156	177	PRINTS	PR00423	IPR000158	Cell division protein FtsZ	GO:0005737|GO:0005525
638199286	372	218	240	PRINTS	PR00423	IPR000158	Cell division protein FtsZ	GO:0005737|GO:0005525
638199286	372	241	262	PRINTS	PR00423	IPR000158	Cell division protein FtsZ	GO:0005737|GO:0005525
638199286	372	38	235	SUPERFAMILY	SSF52490	IPR003008	Tubulin/FtsZ, GTPase domain	GO:0043234|GO:0051258
638199286	372	43	234	SMART	SM00864	IPR003008	Tubulin/FtsZ, GTPase domain	GO:0043234|GO:0051258
638199286	372	43	252	Gene3D	G3DSA:3.40.50.1440	IPR003008	Tubulin/FtsZ, GTPase domain	GO:0043234|GO:0051258
638199286	372	44	213	Pfam	PF00091	IPR003008	Tubulin/FtsZ, GTPase domain	GO:0043234|GO:0051258
638199286	372	233	347	SUPERFAMILY	SSF55307	IPR008280	Tubulin/FtsZ, C-terminal	GO:0005525|GO:0043234|GO:0051258|GO:0006184|GO:0003924
638199286	372	236	352	SMART	SM00865	IPR018316	Tubulin/FtsZ, 2-layer sandwich domain	GO:0051258|GO:0003924|GO:0006184|GO:0005525|GO:0043234
638199286	372	254	357	Gene3D	G3DSA:3.30.1330.20	IPR018316	Tubulin/FtsZ, 2-layer sandwich domain	GO:0051258|GO:0003924|GO:0006184|GO:0005525|GO:0043234
638199286	372	74	108	ProSitePatterns	PS01134	IPR020805	Cell division protein FtsZ, conserved site	GO:0005737|GO:0005525
638199286	372	127	148	ProSitePatterns	PS01135	IPR020805	Cell division protein FtsZ, conserved site	GO:0005737|GO:0005525
638199286	372	251	343	Pfam	PF12327	IPR024757	Cell division protein FtsZ, C-terminal	
638199286	372	1	361	PANTHER	PTHR30314			
638199286	372	1	361	PANTHER	PTHR30314:SF0			
638199289	272	67	271	Pfam	PF04414	IPR007508	D-aminoacyl-tRNA deacylase	GO:0016788
638199289	272	1	271	Hamap	MF_00562	IPR018033	D-Tyr-tRNATyr deacylase	GO:0016788
638199289	272	1	272	PIRSF	PIRSF016210	IPR018033	D-Tyr-tRNATyr deacylase	GO:0016788
638199289	272	1	271	SUPERFAMILY	SSF142535			
638199290	233	35	87	Pfam	PF01909	IPR002934	Nucleotidyl transferase domain	GO:0016779
638199290	233	1	233	PIRSF	PIRSF005928	IPR009185	Predicted nucleotidyltransferase	
638199290	233	21	70	Gene3D	G3DSA:3.30.460.10			
638199290	233	21	73	SUPERFAMILY	SSF81301			
638199292	94	36	67	Coils	Coil			
638199296	210	120	141	Coils	Coil			
638199297	205	7	201	ProSiteProfiles	PS51112	IPR002733	AMMECR1 domain	
638199297	205	12	192	Pfam	PF01871	IPR002733	AMMECR1 domain	
638199297	205	5	188	Hamap	MF_00645	IPR023472	Uncharacterised protein family MJ0810	
638199297	205	1	197	TIGRFAM	TIGR00296	IPR023473	AMMECR1	
