gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
650941951	277	36.33	1	250	9	252	3.0e-46	178	COG0543	2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases	252
650941952	337	21.78	230	330	310	384	2.0e-04	40.3	COG1139	Uncharacterized conserved protein containing a ferredoxin-like domain	459
650941953	288	30.07	8	280	9	249	4.0e-43	168	COG0543	2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases	252
650941954	245	34.39	2	243	1	247	2.0e-57	215	COG1941	Coenzyme F420-reducing hydrogenase, gamma subunit	247
650941955	414	37.82	1	414	3	428	2.0e-99	356	COG3259	Coenzyme F420-reducing hydrogenase, alpha subunit	441
650941956	154	34.64	4	151	3	153	2.0e-24	104	COG0680	Ni,Fe-hydrogenase maturation factor	160
650941958	195	41.36	1	190	107	296	3.0e-37	148	COG2431	Predicted membrane protein	297
650941959	421	58.37	1	421	1	429	0.0e+00	566	COG1850	Ribulose 1,5-bisphosphate carboxylase, large subunit	429
650941961	385	34.23	69	176	97	204	4.0e-08	52.7	COG2890	Methylase of polypeptide chain release factors	280
650941962	426	54.66	1	228	4	239	4.0e-70	259	COG1213	Predicted sugar nucleotidyltransferases	239
650941963	406	46.31	1	403	4	395	0.0e+00	476	COG0126	3-phosphoglycerate kinase	395
650941965	836	53.78	227	819	1	494	2.0e-125	443	COG0464	ATPases of the AAA+ class	494
650941966	413	35.94	1	405	5	432	6.0e-84	304	COG2265	SAM-dependent methyltransferases related to tRNA (uracil-5-)-methyltransferase	432
650941967	239	57.78	11	235	1	223	1.0e-76	279	COG2102	Predicted ATPases of PP-loop superfamily	223
650941968	64	85.25	1	61	1	61	2.0e-18	84	COG4049	Uncharacterized protein containing archaeal-type C2H2 Zn-finger	65
650941970	252	24.02	16	239	32	285	3.0e-10	59.1	COG0524	Sugar kinases, ribokinase family	311
650941971	177	50.35	34	171	3	145	2.0e-33	135	COG1051	ADP-ribose pyrophosphatase	145
650941972	116	56.52	4	116	7	121	2.0e-37	147	COG1504	Uncharacterized conserved protein	121
650941973	481	27.14	9	481	1	463	1.0e-43	170	COG3368	Predicted permease	465
650941974	253	46.06	1	252	4	257	1.0e-66	246	COG1131	ABC-type multidrug transport system, ATPase component	293
650941975	374	77.3	5	374	1	365	0.0e+00	646	COG1980	Archaeal fructose 1,6-bisphosphatase	369
650941976	450	41.83	100	450	1	354	4.0e-89	322	COG0144	tRNA and rRNA cytosine-C5-methylases	355
650941977	209	50.25	1	203	1	197	3.0e-55	208	COG1779	C4-type Zn-finger protein	201
650941979	322	56.08	8	303	1	285	3.0e-96	344	COG1405	Transcription initiation factor TFIIIB, Brf1 subunit/Transcription initiation factor TFIIB	285
650941981	543	26.92	25	540	17	502	2.0e-88	320	COG1700	Uncharacterized conserved protein	503
650941982	643	26.14	173	570	164	562	8.0e-34	139	COG1401	GTPase subunit of restriction endonuclease	601
650941990	405	22.54	8	362	33	352	1.0e-31	131	COG0675	Transposase and inactivated derivatives	364
650941991	101	46.32	2	95	39	133	2.0e-22	97.2	COG1943	Transposase and inactivated derivatives	136
650941992	350	58.86	11	350	3	350	4.0e-113	401	COG3425	3-hydroxy-3-methylglutaryl CoA synthase	377
650941993	385	36.84	1	385	2	392	5.0e-73	268	COG0183	Acetyl-CoA acetyltransferase	392
650941994	134	42.54	1	131	7	140	4.0e-31	126	COG1545	Predicted nucleic-acid-binding protein containing a Zn-ribbon	140
650941998	637	34.81	457	637	67	244	8.0e-29	122	COG1240	Mg-chelatase subunit ChlD	261
650941998	637	55.62	4	332	8	336	3.0e-116	412	COG1239	Mg-chelatase subunit ChlI	423
650941999	1252	38.71	74	1245	113	1285	0.0e+00	1021	COG1429	Cobalamin biosynthesis protein CobN and related Mg-chelatases	1388
650942000	314	35.81	4	310	2	308	1.0e-43	170	COG3366	Uncharacterized protein conserved in archaea	311
650942001	256	49.42	1	254	2	258	4.0e-82	297	COG1120	ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components	258
650942002	348	43.18	50	347	27	334	1.0e-47	184	COG0609	ABC-type Fe3+-siderophore transport system, permease component	334
650942003	655	32	2	300	30	315	6.0e-42	166	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component	319
650942004	366	54.17	1	360	1	338	2.0e-125	442	COG3839	ABC-type sugar transport systems, ATPase components	338
650942005	277	32	1	272	1	275	1.0e-41	163	COG0395	ABC-type sugar transport system, permease component	281
650942006	282	37.88	1	281	6	295	3.0e-45	175	COG1175	ABC-type sugar transport systems, permease components	295
650942007	426	25.9	1	421	1	433	4.0e-33	135	COG1653	ABC-type sugar transport system, periplasmic component	433
650942008	337	21.8	46	306	60	302	5.0e-07	49.1	COG2956	Predicted N-acetylglucosaminyl transferase	389
650942009	91	58.24	1	91	1	88	3.0e-19	86.4	COG2092	Translation elongation factor EF-1beta	88
650942010	297	31.1	15	291	9	286	1.0e-35	143	COG0382	4-hydroxybenzoate polyprenyltransferase and related prenyltransferases	289
650942012	272	44.12	1	267	3	258	7.0e-72	264	COG0656	Aldo/keto reductases, related to diketogulonate reductase	280
650942015	100	38.67	17	91	11	85	9.0e-10	55.4	COG1777	Predicted transcriptional regulators	217
