gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
650941951	277	103	197	Pfam	PF00175	IPR001433	Oxidoreductase FAD/NAD(P)-binding	GO:0016491|GO:0055114
650941951	277	1	254	PIRSF	PIRSF006816	IPR012165	Cytochrome-c3 hydrogenase, gamma subunit	GO:0050660|GO:0006221|GO:0051537
650941951	277	1	95	ProSiteProfiles	PS51384	IPR017927	Ferredoxin reductase-type FAD-binding domain	GO:0055114|GO:0016491
650941951	277	2	91	SUPERFAMILY	SSF63380	IPR017938	Riboflavin synthase-like beta-barrel	GO:0016491|GO:0055114
650941951	277	213	248	Pfam	PF10418	IPR019480	Dihydroorotate dehydrogenase, electron transfer subunit, iron-sulphur cluster binding domain	
650941951	277	217	249	Gene3D	G3DSA:2.10.240.10	IPR019480	Dihydroorotate dehydrogenase, electron transfer subunit, iron-sulphur cluster binding domain	
650941951	277	2	91	Gene3D	G3DSA:2.40.30.10			
650941951	277	41	271	PANTHER	PTHR11938			
650941951	277	41	271	PANTHER	PTHR11938:SF47			
650941951	277	88	248	SUPERFAMILY	SSF52343			
650941951	277	93	210	Gene3D	G3DSA:3.40.50.80			
650941952	337	226	332	SUPERFAMILY	SSF46548	IPR009051	Alpha-helical ferredoxin	GO:0051536
650941952	337	227	331	Gene3D	G3DSA:1.10.1060.10	IPR012285	Fumarate reductase, C-terminal	GO:0051536|GO:0055114|GO:0016491
650941952	337	219	251	ProSiteProfiles	PS51379	IPR017896	4Fe-4S ferredoxin-type, iron-sulpur binding domain	GO:0051536
650941952	337	296	328	ProSiteProfiles	PS51379	IPR017896	4Fe-4S ferredoxin-type, iron-sulpur binding domain	GO:0051536
650941952	337	230	241	ProSitePatterns	PS00198	IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	
650941952	337	306	317	ProSitePatterns	PS00198	IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	
650941952	337	235	322	Pfam	PF13746			
650941953	288	39	51	PRINTS	PR00410	IPR001221	Phenol hydroxylase reductase	GO:0055114
650941953	288	112	131	PRINTS	PR00410	IPR001221	Phenol hydroxylase reductase	GO:0055114
650941953	288	137	146	PRINTS	PR00410	IPR001221	Phenol hydroxylase reductase	GO:0055114
650941953	288	213	221	PRINTS	PR00410	IPR001221	Phenol hydroxylase reductase	GO:0055114
650941953	288	113	226	Pfam	PF00175	IPR001433	Oxidoreductase FAD/NAD(P)-binding	GO:0016491|GO:0055114
650941953	288	112	131	PRINTS	PR00371	IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase	GO:0016491|GO:0055114
650941953	288	137	146	PRINTS	PR00371	IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase	GO:0016491|GO:0055114
650941953	288	149	160	PRINTS	PR00371	IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase	GO:0016491|GO:0055114
650941953	288	213	221	PRINTS	PR00371	IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase	GO:0016491|GO:0055114
650941953	288	9	99	Pfam	PF00970	IPR008333	Oxidoreductase, FAD-binding domain	
