gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
650941951	277						0.0e+00		KO:K00528	ferredoxin--NADP+ reductase [EC:1.18.1.2]	EC:1.18.1.2	No
650941952	337	76.7	2	330	1	330	0.0e+00	570.9	KO:K00437	cytochrome-c3 hydrogenase [EC:1.12.2.1]	EC:1.12.2.1	Yes
650941956	154						0.0e+00		KO:K08567	hydrogenase 2 maturation protease [EC:3.4.24.-]	EC:3.4.24.-	No
650941959	421						0.0e+00		KO:K01601	ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	EC:4.1.1.39	No
650941962	426	70.6	1	415	1	415	0.0e+00	600.1	KO:K07291			Yes
650941963	406						0.0e+00		KO:K00927	phosphoglycerate kinase [EC:2.7.2.3]	EC:2.7.2.3	No
650941965	836						0.0e+00		KO:K13525	transitional endoplasmic reticulum ATPase		No
650941967	239	74.7	11	235	1	224	0.0e+00	357.5	KO:K06927			Yes
650941971	177	71.3	1	167	1	167	0.0e+00	245.4	KO:K03574	7,8-dihydro-8-oxoguanine triphosphatase [EC:3.6.1.-]	EC:3.6.1.-	Yes
650941972	116						0.0e+00		KO:K09008	hypothetical protein		No
650941973	481	39.5	1	479	4	486	0.0e+00	375.6	KO:K07087			Yes
650941974	253	75.5	1	253	1	253	0.0e+00	384.4	KO:K01990	ABC-2 type transport system ATP-binding protein		Yes
650941975	374						0.0e+00		KO:K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	EC:3.1.3.11	No
650941975	374						0.0e+00		KO:K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]	EC:4.1.2.13	No
650941976	450						0.0e+00		KO:K03500	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]	EC:2.1.1.176	No
650941977	209						0.0e+00		KO:K06874	zinc finger protein		No
650941979	322	90.5	11	304	7	300	0.0e+00	523.5	KO:K03124	transcription initiation factor TFIIB		Yes
650941981	543						0.0e+00		KO:K09124	hypothetical protein		No
