gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
650941956	154	6	149	6.1e-37	113	TIGR00072	hydrogenase maturation protease
650941959	421	9	415	0.0e+00	674.7	TIGR03326	ribulose bisphosphate carboxylase, type III
650941965	836	12	825	0.0e+00	1366.7	TIGR01243	AAA family ATPase, CDC48 subfamily
650941965	836	524	775	3.2e-98	317.1	TIGR01242	26S proteasome subunit P45 family
650941966	413	7	404	3.3e-63	200	TIGR00479	23S rRNA (uracil-5-)-methyltransferase RumA
650941967	239	11	234	3.3e-92	295.6	TIGR00289	TIGR00289 family protein
650941967	239	11	235	1.3e-85	274.2	TIGR00290	MJ0570-related uncharacterized domain
650941967	239	14	230	5.9e-92	294.4	TIGR03679	arCOG00187 universal archaeal metal-binding-domain/4Fe-4S-binding-domain containing ABC transporter, ATP-binding protein
650941976	450	10	450	1.7e-71	228.5	TIGR00563	ribosomal RNA small subunit methyltransferase RsmB
650941976	450	191	449	8.7e-68	215.4	TIGR00446	NOL1/NOP2/sun family putative RNA methylase
650941977	209	15	209	7.2e-64	201.7	TIGR00310	ZPR1 zinc finger domain
650941977	209	17	183	3.1e-73	231.7	TIGR00340	ZPR1-related zinc finger protein
650941990	405	231	313	2.1e-13	36.9	TIGR01766	transposase, IS605 OrfB family, central region
650941992	350	10	350	0.0e+00	650.8	TIGR00748	hydroxymethylglutaryl-CoA synthase, putative
650941999	1252	67	1208	0.0e+00	829.7	TIGR02257	cobaltochelatase, CobN subunit
650942009	91	1	91	8.2e-26	76.2	TIGR00489	translation elongation factor aEF-1 beta
650942018	410	6	400	0.0e+00	446.1	TIGR00306	2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal form
650942019	434	3	434	6.8e-129	417.5	TIGR00457	asparaginyl-tRNA synthetase
650942019	434	5	434	1.3e-110	357.3	TIGR00458	aspartyl-tRNA synthetase, archaeal type
650942020	444	5	438	0.0e+00	537.5	TIGR01134	amidophosphoribosyltransferase
650942021	234	1	232	2.5e-80	255.9	TIGR00081	phosphoribosylaminoimidazole-succinocarboxamide synthase
650942022	221	1	221	2.8e-86	274.7	TIGR00266	TIGR00266 family protein
650942027	796	496	773	1.0e-97	315.4	TIGR01242	26S proteasome subunit P45 family
650942027	796	6	795	0.0e+00	1301.2	TIGR01243	AAA family ATPase, CDC48 subfamily
650942028	91	4	90	2.2e-50	154.9	TIGR00285	DNA-binding protein Alba
650942029	198	5	193	2.7e-74	235.1	TIGR03875	RNA ligase partner, MJ_0950 family
650942032	172	91	168	4.8e-27	80.1	TIGR00589	O-6-methylguanine DNA methyltransferase
650942033	314	2	309	1.7e-93	299.1	TIGR01379	thiamine-monophosphate kinase
650942037	334	5	333	0.0e+00	612.5	TIGR01546	glyceraldehyde-3-phosphate dehydrogenase, type II
650942039	377	6	377	5.1e-100	321.4	TIGR00308	tRNA(guanine-26,N2-N2) methyltransferase
650942045	275	14	266	9.4e-83	263.4	TIGR00755	dimethyladenosine transferase
650942052	495	97	472	8.3e-119	383.1	TIGR00933	potassium uptake protein, TrkH family
650942056	210	1	208	7.8e-54	168.8	TIGR01297	cation diffusion facilitator family transporter
650942057	154	3	153	4.6e-58	181.4	TIGR00581	molybdenum cofactor biosynthesis protein MoaC
650942063	453	14	443	0.0e+00	447.8	TIGR00797	putative efflux protein, MATE family
650942065	408	1	408	0.0e+00	544	TIGR00533	3-hydroxy-3-methylglutaryl Coenzyme A reductase, hydroxymethylglutaryl-CoA reductase (NADP)
650942067	1177	3	1157	0.0e+00	765.3	TIGR02168	chromosome segregation protein SMC, common bacterial type
650942067	1177	3	1157	0.0e+00	1250.6	TIGR02169	chromosome segregation protein SMC, primarily archaeal type
650942070	536	1	525	0.0e+00	840.7	TIGR00337	CTP synthase
650942071	473	10	464	0.0e+00	549	TIGR02717	acetyl coenzyme A synthetase (ADP forming), alpha domain
650942074	201	1	196	8.9e-61	191.9	TIGR00342	thiazole biosynthesis/tRNA modification protein ThiI
650942084	359	5	358	1.0e-129	418.1	TIGR03626	archaeal ribosomal protein L3
650942085	255	1	253	2.2e-121	390	TIGR03672	50S ribosomal protein L4P
650942086	86	10	86	3.7e-43	132	TIGR03636	archaeal ribosomal protein L23
650942088	132	2	132	1.3e-74	234.6	TIGR01025	ribosomal protein S19(archaeal)/S15(eukaryotic)
650942089	155	7	153	5.6e-74	233.1	TIGR01038	ribosomal protein L22(archaeal)/L17(eukaryotic/archaeal)
