gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
644842044	377						0.0e+00		KO:K09726	hypothetical protein		No
644842047	332						0.0e+00		KO:K07011			No
644842049	765						0.0e+00		KO:K07151	dolichyl-diphosphooligosaccharide--protein glycosyltransferase [EC:2.4.1.119]	EC:2.4.1.119	No
644842052	309						0.0e+00		KO:K03924	MoxR-like ATPase [EC:3.6.3.-]	EC:3.6.3.-	No
644842056	475						0.0e+00		KO:K06921			No
644842059	183	47	3	183	1	181	7.0e-45	180.6	KO:K07076			Yes
644842062	383						0.0e+00		KO:K08971	putative membrane protein		No
644842063	436						0.0e+00		KO:K07133			No
644842065	283						0.0e+00		KO:K01101	4-nitrophenyl phosphatase [EC:3.1.3.41]	EC:3.1.3.41	No
644842066	54						0.0e+00		KO:K07075			No
644842067	184						0.0e+00		KO:K01507	inorganic pyrophosphatase [EC:3.6.1.1]	EC:3.6.1.1	No
644842068	187						0.0e+00		KO:K03049	DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]	EC:2.7.7.6	No
644842069	61						0.0e+00		KO:K03050	DNA-directed RNA polymerase subunit E" [EC:2.7.7.6]	EC:2.7.7.6	No
644842070	180						0.0e+00		KO:K09735	hypothetical protein		No
644842071	98						0.0e+00		KO:K02974	small subunit ribosomal protein S24e		No
644842072	55						0.0e+00		KO:K02977	small subunit ribosomal protein S27Ae		No
644842086	188						0.0e+00		KO:K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	EC:6.3.5.2	No
644842089	313						0.0e+00		KO:K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	EC:6.3.5.2	No
644842090	483						0.0e+00		KO:K00088	IMP dehydrogenase [EC:1.1.1.205]	EC:1.1.1.205	No
644842091	333						0.0e+00		KO:K06863	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase [EC:6.3.4.-]	EC:6.3.4.-	No
644842093	275						0.0e+00		KO:K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	EC:2.4.2.19	No
644842094	300						0.0e+00		KO:K03517	quinolinate synthase [EC:2.5.1.72]	EC:2.5.1.72	No
644842095	461						0.0e+00		KO:K00278	L-aspartate oxidase [EC:1.4.3.16]	EC:1.4.3.16	No
644842096	713						0.0e+00		KO:K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	EC:6.3.5.3	No
644842097	225						0.0e+00		KO:K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	EC:6.3.5.3	No
644842098	81						0.0e+00		KO:K01952	phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]	EC:6.3.5.3	No
644842099	383						0.0e+00		KO:K06863	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase [EC:6.3.4.-]	EC:6.3.4.-	No
644842100	435						0.0e+00		KO:K01945	phosphoribosylamine--glycine ligase [EC:6.3.4.13]	EC:6.3.4.13	No
644842101	414						0.0e+00		KO:K06921			No
644842102	429						0.0e+00		KO:K08289	phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]	EC:2.1.2.2	No
644842103	350						0.0e+00		KO:K01933	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	EC:6.3.3.1	No
644842104	233						0.0e+00		KO:K01923	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	EC:6.3.2.6	No
644842105	443						0.0e+00		KO:K00764	amidophosphoribosyltransferase [EC:2.4.2.14]	EC:2.4.2.14	No
644842106	676						0.0e+00		KO:K00123	formate dehydrogenase, alpha subunit [EC:1.2.1.2]	EC:1.2.1.2	No
644842108	256						0.0e+00		KO:K09163	hypothetical protein		No
644842111	213						0.0e+00		KO:K09149	hypothetical protein		No
644842113	205						0.0e+00		KO:K07579	putative methylase		No
644842115	350						0.0e+00		KO:K07561	diphthamide synthase subunit DPH2		No
644842119	437						0.0e+00		KO:K01892	histidyl-tRNA synthetase [EC:6.1.1.21]	EC:6.1.1.21	No
644842120	204						0.0e+00		KO:K05595	multiple antibiotic resistance protein		No
644842125	148						0.0e+00		KO:K09714	hypothetical protein		No
644842127	113						0.0e+00		KO:K06518	holin-like protein		No
644842128	136						0.0e+00		KO:K07567	TdcF protein		No
644842130	1112						0.0e+00		KO:K04076	Lon-like ATP-dependent protease [EC:3.4.21.-]	EC:3.4.21.-	No
644842133	306						0.0e+00		KO:K03306	inorganic phosphate transporter, PiT family		No
644842134	584						0.0e+00		KO:K00773	queuine tRNA-ribosyltransferase [EC:2.4.2.29]	EC:2.4.2.29	No
644842134	584						0.0e+00		KO:K07398	conserved protein with predicted RNA binding PUA domain		No
644842135	555						0.0e+00		KO:K06915			No
644842137	895						0.0e+00		KO:K03546	exonuclease SbcC		No
644842139	120						0.0e+00		KO:K03789	ribosomal-protein-alanine N-acetyltransferase [EC:2.3.1.128]	EC:2.3.1.128	No
644842140	175						0.0e+00		KO:K01170	tRNA-intron endonuclease, archaea type [EC:3.1.27.9]	EC:3.1.27.9	No
644842141	395						0.0e+00		KO:K00639	glycine C-acetyltransferase [EC:2.3.1.29]	EC:2.3.1.29	No
644842142	766						0.0e+00		KO:K04801	replication factor C small subunit		No
644842143	487						0.0e+00		KO:K04800	replication factor C large subunit		No
644842144	333						0.0e+00		KO:K07055	tRNA wybutosine-synthesizing protein 2 [EC:2.1.1.-]	EC:2.1.1.-	No
644842144	333						0.0e+00		KO:K15429	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]		No
644842146	267						0.0e+00		KO:K03639	molybdenum cofactor biosynthesis protein		No
644842149	228						0.0e+00		KO:K04484	DNA repair protein RadB		No
644842154	286						0.0e+00		KO:K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	EC:2.7.6.1	No
644842159	183						0.0e+00		KO:K09139	hypothetical protein		No
644842163	526						0.0e+00		KO:K04566	lysyl-tRNA synthetase, class I [EC:6.1.1.6]	EC:6.1.1.6	No
644842164	202						0.0e+00		KO:K00180	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	EC:1.2.7.8	No
644842166	453						0.0e+00		KO:K06901	putative MFS transporter, AGZA family, xanthine/uracil permease		No
644842167	440						0.0e+00		KO:K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	EC:1.1.1.38	No
644842168	268						0.0e+00		KO:K00586	diphthine synthase [EC:2.1.1.98]	EC:2.1.1.98	No
644842170	350						0.0e+00		KO:K07057			No
644842172	67						0.0e+00		KO:K05337	ferredoxin		No
644842173	59						0.0e+00		KO:K05337	ferredoxin		No
644842174	390						0.0e+00		KO:K00763	nicotinate phosphoribosyltransferase [EC:2.4.2.11]	EC:2.4.2.11	No
644842175	115						0.0e+00		KO:K01737	6-pyruvoyl tetrahydrobiopterin synthase [EC:4.2.3.12]	EC:4.2.3.12	No
644842177	732						0.0e+00		KO:K01874	methionyl-tRNA synthetase [EC:6.1.1.10]	EC:6.1.1.10	No
644842180	254						0.0e+00		KO:K07090			No
644842182	185						0.0e+00		KO:K03120	transcription initiation factor TFIID TATA-box-binding protein		No
644842184	513						0.0e+00		KO:K07021			No
644842186	173						0.0e+00		KO:K09687	antibiotic transport system ATP-binding protein		No
644842188	261						0.0e+00		KO:K09686	antibiotic transport system permease protein		No
644842189	202						0.0e+00		KO:K00180	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	EC:1.2.7.8	No
644842190	646						0.0e+00		KO:K00179	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	EC:1.2.7.8	No
644842192	210						0.0e+00		KO:K00943	dTMP kinase [EC:2.7.4.9]	EC:2.7.4.9	No
