gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
644842044	377	1	360	PIRSF	PIRSF005357	IPR007152	Protein of unknown function DUF354	
644842044	377	10	307	Pfam	PF04007	IPR007152	Protein of unknown function DUF354	
644842044	377	6	290	SUPERFAMILY	SSF53756			
644842044	377	24	104	Gene3D	G3DSA:3.40.50.2000			
644842045	180	3	151	Pfam	PF00534	IPR001296	Glycosyl transferase, family 1	GO:0009058
644842045	180	6	171	PANTHER	PTHR12526			
644842045	180	8	171	SUPERFAMILY	SSF53756			
644842047	332	8	169	Pfam	PF00535	IPR001173	Glycosyl transferase, family 2	
644842047	332	6	232	Gene3D	G3DSA:3.90.550.10			
644842047	332	6	261	SUPERFAMILY	SSF53448			
644842047	332	8	257	PANTHER	PTHR22916			
644842048	290	5	120	Pfam	PF00535	IPR001173	Glycosyl transferase, family 2	
644842048	290	1	242	SUPERFAMILY	SSF53448			
644842048	290	5	194	Gene3D	G3DSA:3.90.550.10			
644842048	290	5	284	PANTHER	PTHR10859			
644842049	765	30	689	Pfam	PF02516	IPR003674	Oligosaccharyl transferase, STT3 subunit	GO:0016020|GO:0006486|GO:0004576
644842051	432	182	262	Pfam	PF01882	IPR002881	Domain of unknown function DUF58	
644842052	309	34	175	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0017111|GO:0000166
644842052	309	37	167	Pfam	PF07726	IPR011703	ATPase, AAA-3	GO:0005524|GO:0016887
644842052	309	1	309	PIRSF	PIRSF002849	IPR016366	ATPase chaperone, AAA-type, MoxR, predicted	
644842052	309	5	280	SUPERFAMILY	SSF52540			
644842052	309	13	309	PANTHER	PTHR11603			
644842052	309	13	309	PANTHER	PTHR11603:SF132			
644842052	309	18	181	Gene3D	G3DSA:3.40.50.300			
644842052	309	198	304	Gene3D	G3DSA:1.10.8.300			
644842053	339	36	105	Pfam	PF14258	IPR025646	Domain of unknown function DUF4350	
644842053	339	293	314	Coils	Coil			
644842054	587	164	192	Coils	Coil			
644842056	475	315	417	Pfam	PF03008	IPR004256	Domain of unknown function DUF234, DEXX-box ATPase C-terminal	
644842056	475	346	429	SUPERFAMILY	SSF52980	IPR011335	Restriction endonuclease  type II--like	
644842056	475	3	202	Pfam	PF01637	IPR011579	ATPase domain, prokaryote	GO:0005524
644842056	475	1	167	Gene3D	G3DSA:3.40.50.300			
644842056	475	1	244	SUPERFAMILY	SSF52540			
644842058	125	10	123	Pfam	PF05168	IPR007842	HEPN	
644842058	125	13	124	ProSiteProfiles	PS50910	IPR007842	HEPN	
644842058	125	7	125	Gene3D	G3DSA:1.20.120.330			
644842058	125	14	124	SUPERFAMILY	SSF81593			
644842059	183	102	156	Pfam	PF01909	IPR002934	Nucleotidyl transferase domain	GO:0016779
644842059	183	93	177	Gene3D	G3DSA:3.30.460.10			
644842059	183	99	179	SUPERFAMILY	SSF81301			
644842060	328	10	323	Pfam	PF07760	IPR011674	Domain of unknown function DUF1616	
644842060	328	1	328	PIRSF	PIRSF018671	IPR014495	Uncharacterised conserved protein UCP018671	
644842062	383	5	370	Pfam	PF01970	IPR002823	Protein of unknown function DUF112, transmembrane	
644842063	436	256	310	Gene3D	G3DSA:1.10.10.10	IPR011991	Winged helix-turn-helix transcription repressor DNA-binding	
644842063	436	35	167	Gene3D	G3DSA:3.40.50.300			
644842063	436	35	241	SUPERFAMILY	SSF52540			
644842063	436	54	175	Pfam	PF13173			
644842064	204	6	97	Pfam	PF12389	IPR022121	Peptidase M73, camelysin	
644842065	283	22	249	TIGRFAM	TIGR01460	IPR006357	HAD-superfamily hydrolase, subfamily IIA	GO:0016787|GO:0008152
644842065	283	21	91	Gene3D	G3DSA:3.40.50.1000	IPR023214	HAD-like domain	
644842065	283	21	274	SUPERFAMILY	SSF56784	IPR023214	HAD-like domain	
644842065	283	201	278	Gene3D	G3DSA:3.40.50.1000	IPR023214	HAD-like domain	
644842065	283	92	200	Gene3D	G3DSA:3.40.50.10410	IPR023215	Nitrophenylphosphatase-like  domain	
644842065	283	1	283	PANTHER	PTHR19288			
644842065	283	1	283	PANTHER	PTHR19288:SF3			
644842065	283	22	120	Pfam	PF13344			
644842065	283	202	273	Pfam	PF13242			
644842066	54	2	54	Gene3D	G3DSA:3.30.460.10			
644842066	54	2	54	SUPERFAMILY	SSF81301			
644842067	184	7	183	Gene3D	G3DSA:3.90.80.10	IPR008162	Inorganic pyrophosphatase	GO:0000287|GO:0006796|GO:0005737|GO:0004427
644842067	184	7	184	PANTHER	PTHR10286	IPR008162	Inorganic pyrophosphatase	GO:0000287|GO:0006796|GO:0005737|GO:0004427
644842067	184	8	183	SUPERFAMILY	SSF50324	IPR008162	Inorganic pyrophosphatase	GO:0000287|GO:0006796|GO:0005737|GO:0004427
644842067	184	23	179	Hamap	MF_00209	IPR008162	Inorganic pyrophosphatase	GO:0000287|GO:0006796|GO:0005737|GO:0004427
644842067	184	27	180	Pfam	PF00719	IPR008162	Inorganic pyrophosphatase	GO:0000287|GO:0006796|GO:0005737|GO:0004427
644842067	184	74	80	ProSitePatterns	PS00387	IPR008162	Inorganic pyrophosphatase	GO:0000287|GO:0006796|GO:0005737|GO:0004427
644842068	187	78	155	Pfam	PF00575	IPR003029	Ribosomal protein S1, RNA-binding domain	GO:0003723
644842068	187	82	166	ProSiteProfiles	PS50126	IPR003029	Ribosomal protein S1, RNA-binding domain	GO:0003723
644842068	187	1	179	TIGRFAM	TIGR00448	IPR004519	DNA-directed RNA polymerase, subunit E/RPC8	GO:0006351|GO:0003899|GO:0003677
644842068	187	1	78	SUPERFAMILY	SSF88798	IPR005576	RNA polymerase Rpb7, N-terminal	GO:0006351|GO:0003899
644842068	187	1	80	Gene3D	G3DSA:3.30.1490.120	IPR005576	RNA polymerase Rpb7, N-terminal	GO:0006351|GO:0003899
644842068	187	8	77	Pfam	PF03876	IPR005576	RNA polymerase Rpb7, N-terminal	GO:0006351|GO:0003899
644842068	187	83	181	Gene3D	G3DSA:2.40.50.140	IPR012340	Nucleic acid-binding, OB-fold	
