gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
644842044	377	27	6	357	1	346	5.0e-43	168	COG1817	Uncharacterized protein conserved in archaea	346
644842045	180	28.09	1	176	208	380	3.0e-15	75.1	COG0438	Glycosyltransferase	381
644842047	332	34.22	6	282	4	304	3.0e-44	172	COG1216	Predicted glycosyltransferases	305
644842048	290	24.41	1	290	3	291	8.0e-16	77.9	COG0463	Glycosyltransferases involved in cell wall biogenesis	291
644842049	765	25.17	32	761	47	770	3.0e-90	326	COG1287	Uncharacterized membrane protein, required for N-linked glycosylation	773
644842051	432	24.31	1	424	4	405	2.0e-39	156	COG1721	Uncharacterized conserved protein (some members contain a von Willebrand factor type A (vWA) domain)	416
644842052	309	49.22	1	309	9	329	2.0e-73	269	COG0714	MoxR-like ATPases	329
644842056	475	24.11	1	447	2	353	7.0e-14	72.1	COG1672	Predicted ATPase (AAA+ superfamily)	359
644842058	125	28.1	7	125	5	125	5.0e-18	83	COG1895	Uncharacterized conserved protein related to C-terminal domain of eukaryotic chaperone, SACSIN	129
644842060	328	59.29	4	292	9	305	2.0e-94	339	COG4743	Predicted membrane protein	316
644842062	383	39.8	1	383	5	393	7.0e-52	198	COG1784	Predicted membrane protein	395
644842063	436	29.7	54	436	40	398	7.0e-39	155	COG1373	Predicted ATPase (AAA+ superfamily)	398
644842065	283	46.21	18	278	7	266	4.0e-77	281	COG0647	Predicted sugar phosphatases of the HAD superfamily	269
644842066	54	37.04	1	54	44	97	5.0e-08	49.4	COG1669	Predicted nucleotidyltransferases	97
644842067	184	53.22	11	180	2	171	1.0e-50	192	COG0221	Inorganic pyrophosphatase	171
644842068	187	60.11	1	183	1	183	1.0e-58	219	COG1095	DNA-directed RNA polymerase, subunit E'	183
644842069	61	61.9	1	61	2	64	3.0e-20	90	COG2093	DNA-directed RNA polymerase, subunit E''	64
644842070	180	47.98	5	176	3	166	3.0e-43	168	COG1909	Uncharacterized protein conserved in archaea	167
644842071	98	53.06	1	98	2	99	3.0e-24	103	COG2004	Ribosomal protein S24E	107
644842072	55	75	8	55	3	50	5.0e-16	76.1	COG1998	Ribosomal protein S27AE	51
644842073	199	34.13	1	195	75	280	2.0e-38	152	COG2890	Methylase of polypeptide chain release factors	280
644842075	247	47.37	5	247	43	274	3.0e-61	228	COG0731	Fe-S oxidoreductases	296
644842077	367	28.87	1	332	12	334	5.0e-55	208	COG0206	Cell division GTPase	338
644842084	1096	27.27	503	830	211	527	6.0e-21	97	COG5306	Uncharacterized conserved protein	621
644842085	258	41.49	1	234	41	280	2.0e-47	182	COG4025	Predicted membrane protein	284
644842086	188	45.41	1	187	3	196	1.0e-50	192	COG0518	GMP synthase - Glutamine amidotransferase domain	198
644842087	132	40.16	1	122	4	125	1.0e-20	91.9	COG1895	Uncharacterized conserved protein related to C-terminal domain of eukaryotic chaperone, SACSIN	129
644842089	313	65.08	7	313	1	315	0.0e+00	490	COG0519	GMP synthase, PP-ATPase domain/subunit	315
644842090	483	28.57	255	470	2	169	1.0e-27	117	COG0516	IMP dehydrogenase/GMP reductase	170
644842091	333	53.18	1	333	17	361	2.0e-126	445	COG1759	ATP-utilizing enzymes of ATP-grasp superfamily (probably carboligases)	361
644842093	275	49.82	1	275	4	279	2.0e-85	309	COG0157	Nicotinate-nucleotide pyrophosphorylase	280
644842094	300	55.88	1	300	21	324	4.0e-113	401	COG0379	Quinolinate synthase	324
644842095	461	38.28	3	458	10	508	5.0e-129	454	COG0029	Aspartate oxidase	518
644842096	713	49.1	1	704	24	741	0.0e+00	856	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	743
644842097	225	58.01	3	224	1	231	5.0e-95	340	COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	231
644842098	81	46.91	2	78	1	81	8.0e-19	85.2	COG1828	Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component	83
644842099	383	56.92	4	383	1	361	0.0e+00	502	COG1759	ATP-utilizing enzymes of ATP-grasp superfamily (probably carboligases)	361
644842100	435	43.38	5	426	1	428	0.0e+00	473	COG0151	Phosphoribosylamine-glycine ligase	428
644842102	429	58.13	7	412	3	394	0.0e+00	572	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	394
644842103	350	45.09	15	343	1	340	6.0e-106	377	COG0150	Phosphoribosylaminoimidazole (AIR) synthetase	345
644842104	233	55.51	1	233	1	236	7.0e-78	283	COG0152	Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase	247
644842105	443	54.92	1	441	1	456	0.0e+00	574	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	470
644842106	676	41.68	6	664	263	937	0.0e+00	621	COG3383	Uncharacterized anaerobic dehydrogenase	978
644842108	256	38.43	34	255	40	267	2.0e-51	195	COG3294	Uncharacterized conserved protein	269
644842109	222	54.46	1	201	1	201	5.0e-57	214	COG2454	Uncharacterized conserved protein	211
644842111	213	28.45	1	213	1	234	6.0e-28	117	COG2430	Uncharacterized conserved protein	236
644842112	356	31.92	51	355	1	307	2.0e-40	160	COG0668	Small-conductance mechanosensitive channel	316
644842113	205	54.77	3	201	1	196	5.0e-69	254	COG2263	Predicted RNA methylase	198
644842115	350	48.24	6	339	7	345	3.0e-96	345	COG1736	Diphthamide synthase subunit DPH2	347
644842117	115	45	15	113	3	102	5.0e-15	73	COG1695	Predicted transcriptional regulators	138
644842119	437	45.85	7	437	4	428	2.0e-123	436	COG0124	Histidyl-tRNA synthetase	429
644842120	204	36.14	1	198	3	203	3.0e-21	95.3	COG2095	Multiple antibiotic transporter	203
644842122	367	27.7	155	298	25	169	5.0e-15	75.8	COG2856	Predicted Zn peptidase	213
644842125	148	60.99	1	139	1	141	2.0e-38	151	COG1356	Uncharacterized protein conserved in archaea	143
644842126	224	48.18	4	223	9	228	2.0e-57	215	COG1346	Putative effector of murein hydrolase	230
644842127	113	45.37	1	108	7	114	1.0e-19	88.3	COG1380	Putative effector of murein hydrolase LrgA	128
644842128	136	52.31	6	134	1	127	2.0e-35	141	COG0251	Putative translation initiation inhibitor, yjgF family	130
644842130	1112	38.9	549	1105	55	633	0.0e+00	485	COG1067	Predicted ATP-dependent protease	647
644842132	348	32.13	1	344	16	375	5.0e-39	155	COG1215	Glycosyltransferases, probably involved in cell wall biogenesis	439
644842133	306	36.19	4	305	8	322	5.0e-45	174	COG0306	Phosphate/sulphate permeases	326
644842134	584	35.47	10	349	1	372	4.0e-105	375	COG0343	Queuine/archaeosine tRNA-ribosyltransferase	372
644842135	555	33.08	1	520	8	507	1.0e-55	211	COG0433	Predicted ATPase	520
644842136	442	27.75	3	381	1	364	8.0e-43	168	COG0420	DNA repair exonuclease	390
644842137	895	27.45	9	891	1	908	2.0e-42	168	COG0419	ATPase involved in DNA repair	908
644842138	403	26.18	29	402	28	379	7.0e-26	111	COG1630	Uncharacterized protein conserved in archaea	379
