gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
643420513	1308	984	1032	SMART	SM00305	IPR003586	Hint domain C-terminal	
643420513	1308	490	613	SMART	SM00306	IPR003587	Hint domain N-terminal	
643420513	1308	770	903	ProSiteProfiles	PS50819	IPR004042	Intein DOD homing endonuclease	GO:0004519
643420513	1308	2	494	TIGRFAM	TIGR00592	IPR004578	DNA-directed DNA polymerase, family B, pol2	GO:0000166|GO:0003677|GO:0003887|GO:0006260
643420513	1308	1025	1281	TIGRFAM	TIGR00592	IPR004578	DNA-directed DNA polymerase, family B, pol2	GO:0000166|GO:0003677|GO:0003887|GO:0006260
643420513	1308	23	129	Pfam	PF03104	IPR006133	DNA-directed DNA polymerase, family B, exonuclease domain	GO:0003887|GO:0006260
643420513	1308	133	278	Pfam	PF03104	IPR006133	DNA-directed DNA polymerase, family B, exonuclease domain	GO:0003887|GO:0006260
643420513	1308	352	493	Pfam	PF00136	IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain	GO:0003677|GO:0006260|GO:0003887|GO:0000166
643420513	1308	1026	1284	Pfam	PF00136	IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain	GO:0003677|GO:0006260|GO:0003887|GO:0000166
643420513	1308	492	589	ProSiteProfiles	PS50817	IPR006141	Intein splice site	GO:0016539
643420513	1308	495	589	TIGRFAM	TIGR01445	IPR006141	Intein splice site	GO:0016539
643420513	1308	1003	1027	ProSiteProfiles	PS50818	IPR006141	Intein splice site	GO:0016539
643420513	1308	1003	1027	TIGRFAM	TIGR01443	IPR006141	Intein splice site	GO:0016539
643420513	1308	576	589	PRINTS	PR00379	IPR006142	Intein	GO:0016539
643420513	1308	767	779	PRINTS	PR00379	IPR006142	Intein	GO:0016539
643420513	1308	863	875	PRINTS	PR00379	IPR006142	Intein	GO:0016539
643420513	1308	890	905	PRINTS	PR00379	IPR006142	Intein	GO:0016539
643420513	1308	1001	1018	PRINTS	PR00379	IPR006142	Intein	GO:0016539
643420513	1308	1021	1030	PRINTS	PR00379	IPR006142	Intein	GO:0016539
643420513	1308	133	593	SMART	SM00486	IPR006172	DNA-directed DNA polymerase, family B	GO:0006139|GO:0003676|GO:0003887|GO:0000166
643420513	1308	400	413	PRINTS	PR00106	IPR006172	DNA-directed DNA polymerase, family B	GO:0006139|GO:0003676|GO:0003887|GO:0000166
643420513	1308	483	495	PRINTS	PR00106	IPR006172	DNA-directed DNA polymerase, family B	GO:0006139|GO:0003676|GO:0003887|GO:0000166
643420513	1308	1071	1079	PRINTS	PR00106	IPR006172	DNA-directed DNA polymerase, family B	GO:0006139|GO:0003676|GO:0003887|GO:0000166
643420513	1308	1	347	SUPERFAMILY	SSF53098	IPR012337	Ribonuclease H-like domain	GO:0003676
643420513	1308	1073	1081	ProSitePatterns	PS00116	IPR017964	DNA-directed DNA polymerase, family B, conserved site	GO:0003676|GO:0006139|GO:0000166|GO:0003887
643420513	1308	345	416	Gene3D	G3DSA:3.90.1600.10	IPR023211	DNA polymerase, palm domain	
643420513	1308	1041	1158	Gene3D	G3DSA:3.90.1600.10	IPR023211	DNA polymerase, palm domain	
643420513	1308	133	1286	PANTHER	PTHR10322			
643420513	1308	136	326	Gene3D	G3DSA:3.30.420.10			
643420513	1308	349	493	SUPERFAMILY	SSF56672			
643420513	1308	492	614	SUPERFAMILY	SSF51294			
643420513	1308	492	622	Gene3D	G3DSA:2.170.16.10			
643420513	1308	846	934	SUPERFAMILY	SSF55608			
643420513	1308	847	970	Gene3D	G3DSA:3.10.28.10			
643420513	1308	988	1027	SUPERFAMILY	SSF51294			
643420513	1308	988	1028	Gene3D	G3DSA:2.170.16.10			
643420513	1308	1025	1294	SUPERFAMILY	SSF56672			
643420514	231	1	12	PRINTS	PR00413	IPR005833	Haloacid dehalogenase/epoxide hydrolase	GO:0008152|GO:0016787
643420514	231	108	121	PRINTS	PR00413	IPR005833	Haloacid dehalogenase/epoxide hydrolase	GO:0008152|GO:0016787
643420514	231	142	158	PRINTS	PR00413	IPR005833	Haloacid dehalogenase/epoxide hydrolase	GO:0008152|GO:0016787
643420514	231	188	201	PRINTS	PR00413	IPR005833	Haloacid dehalogenase/epoxide hydrolase	GO:0008152|GO:0016787
643420514	231	140	193	TIGRFAM	TIGR01549	IPR006439	HAD-superfamily hydrolase, subfamily IA, variant 1	GO:0008152|GO:0008967
643420514	231	1	228	SUPERFAMILY	SSF56784	IPR023214	HAD-like domain	
643420514	231	2	14	Gene3D	G3DSA:3.40.50.1000	IPR023214	HAD-like domain	
643420514	231	94	227	Gene3D	G3DSA:3.40.50.1000	IPR023214	HAD-like domain	
643420514	231	5	199	Pfam	PF13419			
643420514	231	6	229	PANTHER	PTHR12725			
643420515	338	102	333	Pfam	PF11536	IPR024508	Protein of unknown function DUF3226	
643420515	338	100	241	Gene3D	G3DSA:3.40.50.10620			
643420515	338	100	333	SUPERFAMILY	SSF160945			
643420515	338	242	312	Gene3D	G3DSA:1.10.3490.10			
643420516	213	89	207	Pfam	PF09622	IPR024464	Protein of unknown function DUF2391	
643420516	213	58	79	Coils	Coil			
643420517	489	404	488	Pfam	PF05124	IPR022651	S-layer protein, C-terminal	
643420518	392	20	185	Pfam	PF07690	IPR011701	Major facilitator superfamily	GO:0055085|GO:0016021
643420518	392	214	386	Pfam	PF07690	IPR011701	Major facilitator superfamily	GO:0055085|GO:0016021
643420518	392	11	384	SUPERFAMILY	SSF103473	IPR016196	Major facilitator superfamily domain, general substrate transporter	
643420518	392	12	383	ProSiteProfiles	PS50850	IPR020846	Major facilitator superfamily domain	
643420518	392	5	380	PANTHER	PTHR24003			
643420518	392	10	192	Gene3D	G3DSA:1.20.1250.20			
643420518	392	213	383	Gene3D	G3DSA:1.20.1250.20			
643420519	741	1	88	ProSiteProfiles	PS51188	IPR001305	Heat shock protein DnaJ, cysteine-rich domain	GO:0051082|GO:0031072
643420519	741	5	32	SUPERFAMILY	SSF57938	IPR001305	Heat shock protein DnaJ, cysteine-rich domain	GO:0051082|GO:0031072
643420519	741	6	71	Gene3D	G3DSA:2.10.230.10	IPR001305	Heat shock protein DnaJ, cysteine-rich domain	GO:0051082|GO:0031072
643420519	741	72	125	Gene3D	G3DSA:2.10.230.10	IPR001305	Heat shock protein DnaJ, cysteine-rich domain	GO:0051082|GO:0031072
643420519	741	351	522	Pfam	PF01368	IPR001667	Phosphoesterase, RecJ-like	GO:0016787|GO:0030145
643420519	741	130	193	Pfam	PF00575	IPR003029	Ribosomal protein S1, RNA-binding domain	GO:0003723
643420519	741	133	196	ProSiteProfiles	PS50126	IPR003029	Ribosomal protein S1, RNA-binding domain	GO:0003723
643420519	741	227	296	Pfam	PF01336	IPR004365	Nucleic acid binding, OB-fold, tRNA/helicase-type	GO:0003676
643420519	741	126	193	Gene3D	G3DSA:2.40.50.140	IPR012340	Nucleic acid-binding, OB-fold	
643420519	741	215	296	Gene3D	G3DSA:2.40.50.140	IPR012340	Nucleic acid-binding, OB-fold	
643420519	741	121	197	SUPERFAMILY	SSF50249	IPR016027	Nucleic acid-binding, OB-fold-like	
643420519	741	225	296	SUPERFAMILY	SSF50249	IPR016027	Nucleic acid-binding, OB-fold-like	
643420519	741	131	196	SMART	SM00316	IPR022967	RNA-binding domain, S1	
643420519	741	336	734	SUPERFAMILY	SSF64182			
643420521	71	26	47	Coils	Coil			
643420522	392	19	263	Pfam	PF07690	IPR011701	Major facilitator superfamily	GO:0055085|GO:0016021
643420522	392	5	391	SUPERFAMILY	SSF103473	IPR016196	Major facilitator superfamily domain, general substrate transporter	
643420522	392	14	392	ProSiteProfiles	PS50850	IPR020846	Major facilitator superfamily domain	
643420522	392	10	205	Gene3D	G3DSA:1.20.1250.20			
643420522	392	13	392	PANTHER	PTHR24003			
643420522	392	214	391	Gene3D	G3DSA:1.20.1250.20			
643420523	96	11	81	Pfam	PF03551	IPR005149	Transcription regulator PadR N-terminal	
643420523	96	3	94	Gene3D	G3DSA:1.10.10.10	IPR011991	Winged helix-turn-helix transcription repressor DNA-binding	
643420523	96	2	94	SUPERFAMILY	SSF46785			
643420523	96	76	97	Coils	Coil			
643420524	128	20	117	PANTHER	PTHR10233	IPR000649	Initiation factor 2B-related	GO:0044237
643420524	128	18	119	TIGRFAM	TIGR00369	IPR003736	Phenylacetic acid degradation-related domain	
643420524	128	20	117	PANTHER	PTHR10233:SF6	IPR005251	Putative translation initiation factor, aIF-2BI/5-methylthioribose-1-phosphate isomerase	GO:0044249
643420524	128	40	112	Pfam	PF03061	IPR006683	Thioesterase superfamily	
643420524	128	9	126	Gene3D	G3DSA:3.10.129.10			
643420524	128	13	119	SUPERFAMILY	SSF54637			
643420525	132	11	128	Pfam	PF09999	IPR018716	Protein of unknown function DUF2240	
643420526	346	34	273	Pfam	PF12849	IPR024370	PBP domain	
643420526	346	1	22	ProSiteProfiles	PS51257			
643420526	346	26	122	Gene3D	G3DSA:3.40.190.10			
643420526	346	41	282	SUPERFAMILY	SSF53850			
643420526	346	123	242	Gene3D	G3DSA:3.40.190.10			
643420526	346	243	295	Gene3D	G3DSA:3.40.190.10			
643420527	235	26	227	ProSiteProfiles	PS50928	IPR000515	Binding-protein-dependent transport systems inner membrane component	GO:0005215|GO:0006810|GO:0016020
643420527	235	45	228	Pfam	PF00528	IPR000515	Binding-protein-dependent transport systems inner membrane component	GO:0005215|GO:0006810|GO:0016020
643420527	235	9	231	SUPERFAMILY	SSF161098			
643420527	235	10	233	Gene3D	G3DSA:1.10.3720.10			
643420528	240	4	235	ProSiteProfiles	PS50893	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
643420528	240	43	163	Pfam	PF00005	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
643420528	240	28	212	SMART	SM00382	IPR003593	AAA+ ATPase domain	GO:0000166|GO:0017111
643420528	240	194	240	ProSiteProfiles	PS51238	IPR015850	ABC transporter, phosphate import, PstB	GO:0015415|GO:0006817|GO:0005524|GO:0016020
643420528	240	135	149	ProSitePatterns	PS00211	IPR017871	ABC transporter, conserved site	GO:0005524|GO:0016887
643420528	240	1	238	PANTHER	PTHR24220			
643420528	240	3	235	Gene3D	G3DSA:3.40.50.300			
643420528	240	3	235	SUPERFAMILY	SSF52540			
643420529	179	3	178	Gene3D	G3DSA:3.40.50.850	IPR000868	Isochorismatase-like	GO:0008152|GO:0003824
643420529	179	4	179	SUPERFAMILY	SSF52499	IPR000868	Isochorismatase-like	GO:0008152|GO:0003824
643420529	179	5	178	Pfam	PF00857	IPR000868	Isochorismatase-like	GO:0008152|GO:0003824
643420529	179	2	179	PANTHER	PTHR11080			
643420529	179	2	179	PANTHER	PTHR11080:SF2			
643420530	348	4	343	PANTHER	PTHR21716	IPR002549	Uncharacterised protein family UPF0118	
643420530	348	9	322	Pfam	PF01594	IPR002549	Uncharacterised protein family UPF0118	
643420532	227	1	227	Pfam	PF13680	IPR025206	Protein of unknown function DUF4152	
643420533	638	582	628	Pfam	PF12838	IPR001450	4Fe-4S binding domain	GO:0009055|GO:0051536
643420533	638	36	210	Pfam	PF01855	IPR002880	Pyruvate flavodoxin/ferredoxin oxidoreductase, N-terminal	GO:0016491|GO:0055114
643420533	638	251	332	SUPERFAMILY	SSF52922	IPR009014	Transketolase, C-terminal/Pyruvate-ferredoxin oxidoreductase, domain II	GO:0003824|GO:0008152
643420533	638	416	557	Pfam	PF02775	IPR011766	Thiamine pyrophosphate enzyme, C-terminal TPP-binding	GO:0030976|GO:0003824
643420533	638	19	636	PIRSF	PIRSF006439	IPR017721	Indolepyruvate ferredoxin oxidoreductase, alpha subunit	GO:0043805|GO:0055114
643420533	638	25	629	TIGRFAM	TIGR03336	IPR017721	Indolepyruvate ferredoxin oxidoreductase, alpha subunit	GO:0043805|GO:0055114
643420533	638	574	603	ProSiteProfiles	PS51379	IPR017896	4Fe-4S ferredoxin-type, iron-sulpur binding domain	GO:0051536
643420533	638	605	634	ProSiteProfiles	PS51379	IPR017896	4Fe-4S ferredoxin-type, iron-sulpur binding domain	GO:0051536
643420533	638	614	625	ProSitePatterns	PS00198	IPR017900	4Fe-4S ferredoxin, iron-sulphur binding, conserved site	
643420533	638	16	203	Gene3D	G3DSA:3.40.50.970			
643420533	638	24	258	SUPERFAMILY	SSF52518			
643420533	638	378	625	Gene3D	G3DSA:3.40.50.970			
643420533	638	378	629	PANTHER	PTHR18968			
643420533	638	378	629	PANTHER	PTHR18968:SF91			
643420533	638	379	612	SUPERFAMILY	SSF52518			
643420537	105	1	104	PIRSF	PIRSF029826	IPR011394	NTP Pyrophosphohydrolase MazG-related, RS21-C6	
643420537	105	56	102	Pfam	PF12643	IPR025984	MazG-like domain	
643420537	105	1	103	PANTHER	PTHR14552			
643420537	105	2	105	SUPERFAMILY	SSF101386			
643420538	149	1	107	ProSiteProfiles	PS51084	IPR001310	Histidine triad (HIT) protein	
643420538	149	11	101	Pfam	PF01230	IPR001310	Histidine triad (HIT) protein	
643420538	149	13	142	PANTHER	PTHR23089	IPR001310	Histidine triad (HIT) protein	
643420538	149	1	132	Gene3D	G3DSA:3.30.428.10	IPR011146	HIT-like domain	GO:0003824
643420538	149	1	132	SUPERFAMILY	SSF54197	IPR011146	HIT-like domain	GO:0003824
643420538	149	81	99	ProSitePatterns	PS00892	IPR019808	Histidine triad, conserved site	
643420538	149	13	142	PANTHER	PTHR23089:SF0			
643420540	260	10	32	Pfam	PF10584	IPR000426	Proteasome, alpha-subunit, N-terminal domain	GO:0004175|GO:0019773|GO:0006511
643420540	260	10	32	ProSitePatterns	PS00388	IPR000426	Proteasome, alpha-subunit, N-terminal domain	GO:0004175|GO:0019773|GO:0006511
643420540	260	10	32	SMART	SM00948	IPR000426	Proteasome, alpha-subunit, N-terminal domain	GO:0004175|GO:0019773|GO:0006511
643420540	260	33	215	Pfam	PF00227	IPR001353	Proteasome, subunit alpha/beta	GO:0005839|GO:0051603|GO:0004298
643420540	260	5	234	Hamap	MF_00289_A	IPR019982	Proteasome, alpha subunit, archaeal	GO:0004298|GO:0005839|GO:0051603
643420540	260	8	234	TIGRFAM	TIGR03633	IPR019982	Proteasome, alpha subunit, archaeal	GO:0004298|GO:0005839|GO:0051603
643420540	260	36	215	ProSiteProfiles	PS51475	IPR023332	Proteasome A-type subunit	GO:0004298
643420540	260	6	244	PANTHER	PTHR11599			
643420540	260	6	244	PANTHER	PTHR11599:SF14			
643420540	260	7	242	SUPERFAMILY	SSF56235			
643420540	260	8	240	Gene3D	G3DSA:3.60.20.10			
643420540	260	239	260	Coils	Coil			
643420541	236	3	231	TIGRFAM	TIGR00291	IPR002140	Ribosome maturation protein SBDS	
643420541	236	3	234	PANTHER	PTHR10927	IPR002140	Ribosome maturation protein SBDS	
643420541	236	157	228	SUPERFAMILY	SSF54980	IPR009022	Elongation factor G/III/V	
643420541	236	37	56	ProSitePatterns	PS01267	IPR018023	Ribosome maturation protein SBDS, conserved site	
643420541	236	100	218	Pfam	PF09377	IPR018978	Ribosome maturation protein SBDS, C-terminal	GO:0042254
643420541	236	4	87	SUPERFAMILY	SSF89895	IPR019783	Ribosome maturation protein SBDS, N-terminal	
643420541	236	7	96	Pfam	PF01172	IPR019783	Ribosome maturation protein SBDS, N-terminal	
643420541	236	14	97	Gene3D	G3DSA:3.30.1250.10			
643420541	236	82	155	SUPERFAMILY	SSF109728			
643420542	256	3	58	SUPERFAMILY	SSF110324	IPR001684	Ribosomal protein L27	GO:0003735|GO:0006412|GO:0005622|GO:0005840
643420542	256	65	137	ProSiteProfiles	PS50126	IPR003029	Ribosomal protein S1, RNA-binding domain	GO:0003723
643420542	256	146	211	SMART	SM00322	IPR004087	K Homology domain	GO:0003723
643420542	256	151	200	Pfam	PF00013	IPR004088	K Homology domain, type 1	GO:0003723
643420542	256	152	206	ProSiteProfiles	PS50084	IPR004088	K Homology domain, type 1	GO:0003723
643420542	256	63	137	Gene3D	G3DSA:2.40.50.140	IPR012340	Nucleic acid-binding, OB-fold	
643420542	256	59	152	SUPERFAMILY	SSF50249	IPR016027	Nucleic acid-binding, OB-fold-like	
643420542	256	63	137	SMART	SM00316	IPR022967	RNA-binding domain, S1	
643420542	256	7	235	Hamap	MF_00623	IPR023474	Probable exosome complex RNA-binding protein 1	
643420542	256	11	47	Pfam	PF14382	IPR025721	Exosome complex component, N-terminal domain	
643420542	256	10	216	PANTHER	PTHR21321			
643420542	256	148	228	SUPERFAMILY	SSF54791			
643420542	256	152	212	Gene3D	G3DSA:3.30.1370.10			
643420543	249	25	154	Pfam	PF01138	IPR001247	Exoribonuclease, phosphorolytic domain 1	
643420543	249	1	241	Hamap	MF_00591	IPR011807	Exoribonuclease, exosome complex	GO:0000178|GO:0016896
643420543	249	9	238	TIGRFAM	TIGR02065	IPR011807	Exoribonuclease, exosome complex	GO:0000178|GO:0016896
643420543	249	155	244	SUPERFAMILY	SSF55666	IPR015847	Exoribonuclease, phosphorolytic domain 2	
643420543	249	157	222	Pfam	PF03725	IPR015847	Exoribonuclease, phosphorolytic domain 2	
643420543	249	10	180	SUPERFAMILY	SSF54211	IPR020568	Ribosomal protein S5 domain 2-type fold	
643420543	249	8	247	PANTHER	PTHR11953			
643420543	249	224	245	Coils	Coil			
643420544	272	33	167	Pfam	PF01138	IPR001247	Exoribonuclease, phosphorolytic domain 1	
643420544	272	187	269	SUPERFAMILY	SSF55666	IPR015847	Exoribonuclease, phosphorolytic domain 2	
